3連単,型00_4カド一撃型,型01_イン凹み_中枠強襲型,型02_5号艇エース_展開型,型03_イン凹み_中枠強襲型,型04_5号艇ド弱_壁抜け型,型05_6号艇エース_展開型,型06_1号艇一強_王道型,型07_5号艇エース_展開型,型08_6号艇エース_展開型,型09_4カド一撃型,型10_イン凹み_中枠強襲型,型11_5号艇エース_展開型
1-2-3,6.34,4.74,6.09,6.2,6.81,4.57,11.78,5.22,4.62,4.75,6.22,3.49
1-2-4,7.36,5.29,3.31,1.31,5.74,2.6,5.58,5.83,2.87,6.59,4.53,2.68
1-2-5,3.32,2.49,5.03,3.98,0.83,1.51,5.15,6.11,5.25,3.09,1.44,2.68
1-2-6,0.54,4.78,0.26,3.07,4.44,2.6,3.18,3.01,5.21,3.47,1.18,0.99
1-3-2,5.13,3.03,5.1,4.49,4.8,4.29,7.56,2.89,2.38,3.22,3.6,3.85
1-3-4,6.58,1.67,3.04,1.46,3.43,4.38,6.01,1.89,2.51,5.22,3.68,4.3
1-3-5,4.22,0.82,4.1,2.92,0.53,2.56,4.75,2.53,2.96,2.59,1.23,4.92
1-3-6,0.24,2.18,0.4,1.97,3.91,4.89,3.73,1.12,3.55,2.28,0.76,1.84
1-4-2,7.54,2.14,1.72,0.5,5.21,1.42,3.45,2.93,1.93,6.71,3.38,2.02
1-4-3,5.67,1.56,2.25,0.45,3.37,2.56,2.78,1.65,1.17,5.28,2.66,3.08
1-4-5,3.56,1.17,1.65,0.35,0.41,1.0,2.0,2.17,2.69,4.47,1.27,2.72
1-4-6,0.42,1.98,0.26,0.45,2.55,2.6,1.79,1.33,1.93,4.43,1.06,1.25
1-5-2,1.75,1.01,3.38,1.92,0.3,0.73,2.5,3.42,3.46,1.66,0.63,1.98
1-5-3,1.21,0.78,2.71,1.66,0.18,1.14,2.71,1.89,1.89,1.03,0.42,2.64
1-5-4,2.29,0.74,1.99,0.66,0.12,0.5,1.63,1.97,2.24,1.81,0.51,2.13
1-5-6,0.06,0.74,0.2,0.96,0.3,1.23,1.42,0.92,3.23,1.16,0.25,1.36
1-6-2,0.36,2.26,0.13,1.31,1.78,2.1,1.63,0.76,2.6,1.34,0.42,0.66
1-6-3,0.06,0.86,0.13,1.06,2.31,2.47,1.39,0.4,1.57,1.53,0.63,0.73
1-6-4,0.12,1.4,0.13,0.4,1.66,1.51,0.71,0.4,1.03,1.44,0.21,0.66
1-6-5,0.0,0.7,0.2,0.76,0.36,0.91,0.59,0.08,2.15,0.72,0.17,0.48
2-1-3,1.87,2.88,4.1,3.98,2.96,1.51,1.82,2.53,1.57,1.0,3.51,0.88
2-1-4,1.21,2.37,1.72,1.16,2.43,1.0,1.3,2.49,0.58,1.28,2.88,0.99
2-1-5,0.78,1.13,2.71,2.57,0.06,0.18,0.74,3.74,0.9,0.53,1.02,1.4
2-1-6,0.0,2.57,0.33,2.07,2.13,0.96,0.96,1.49,1.39,0.5,0.89,0.62
2-3-1,0.6,1.13,1.46,2.47,1.84,1.0,0.86,0.84,0.4,0.34,2.07,0.84
2-3-4,0.6,1.21,1.59,1.16,1.01,0.37,0.34,0.72,0.31,0.25,3.68,0.44
2-3-5,0.18,0.74,1.92,2.67,0.12,0.46,0.37,0.84,0.36,0.16,1.27,0.62
2-3-6,0.06,1.52,0.13,2.87,1.36,0.73,0.37,0.6,0.54,0.31,0.93,0.51
2-4-1,1.27,1.4,1.26,0.55,1.3,0.55,0.34,1.17,0.22,0.5,1.95,0.66
2-4-3,0.84,0.93,1.52,0.6,1.36,0.41,0.22,0.6,0.09,0.41,2.45,0.51
2-4-5,0.72,0.93,1.19,0.66,0.06,0.23,0.12,1.93,0.13,0.41,1.4,0.4
2-4-6,0.12,1.67,0.13,0.4,0.71,0.23,0.06,0.56,0.36,0.5,0.51,0.44
2-5-1,0.42,0.51,0.93,1.31,0.0,0.14,0.4,1.69,0.54,0.28,0.21,0.44
2-5-3,0.24,0.62,1.06,1.81,0.0,0.14,0.12,0.88,0.18,0.19,0.68,0.59
2-5-4,0.48,0.51,0.86,0.4,0.0,0.14,0.12,1.77,0.18,0.19,0.55,0.4
2-5-6,0.0,1.01,0.13,1.11,0.0,0.32,0.22,0.68,0.58,0.09,0.34,0.22
2-6-1,0.06,1.36,0.0,1.16,0.77,0.37,0.03,0.48,0.49,0.12,0.08,0.33
2-6-3,0.06,0.86,0.0,1.06,1.48,0.46,0.06,0.28,0.36,0.16,0.51,0.26
2-6-4,0.0,0.97,0.0,0.35,0.71,0.37,0.06,0.32,0.36,0.12,0.42,0.26
2-6-5,0.06,0.66,0.0,0.86,0.0,0.23,0.09,0.28,0.36,0.06,0.17,0.22
3-1-2,1.45,0.47,2.05,2.12,1.12,1.69,1.48,0.72,0.49,0.59,1.44,0.77
3-1-4,1.63,0.51,0.79,0.45,1.6,2.47,1.67,0.36,0.72,1.44,1.95,1.8
3-1-5,1.09,0.47,2.98,1.46,0.3,1.74,1.42,0.68,0.72,0.69,1.02,2.2
3-1-6,0.18,0.74,0.2,1.76,1.36,3.01,0.86,0.24,0.54,0.56,0.85,0.95
3-2-1,0.78,0.54,1.32,1.66,1.24,1.05,1.11,0.4,0.49,0.16,1.14,0.73
3-2-4,1.27,0.47,0.86,0.86,0.95,0.68,0.4,0.72,0.22,0.37,2.24,0.88
3-2-5,0.12,0.54,1.85,1.92,0.36,0.41,0.4,0.48,0.22,0.19,1.18,1.17
3-2-6,0.12,0.47,0.26,1.61,0.95,1.23,0.22,0.16,0.18,0.12,0.63,0.55
3-4-1,1.09,0.54,0.53,0.45,0.77,1.32,0.37,0.32,0.13,0.66,1.52,0.99
3-4-2,0.78,0.43,1.06,0.35,0.59,0.59,0.49,0.52,0.18,0.41,2.24,0.66
3-4-5,0.78,0.35,1.19,0.55,0.3,0.64,0.4,0.4,0.22,0.44,1.57,1.58
3-4-6,0.12,0.51,0.07,0.2,1.42,1.32,0.06,0.4,0.36,0.28,0.76,0.7
3-5-1,0.18,0.31,1.52,0.96,0.12,0.55,0.31,0.36,0.4,0.25,0.21,0.77
3-5-2,0.36,0.16,1.52,1.16,0.0,0.46,0.12,0.24,0.45,0.34,0.3,0.81
3-5-4,0.18,0.08,1.13,0.81,0.06,0.64,0.15,0.16,0.4,0.22,0.34,1.28
3-5-6,0.0,0.16,0.2,1.11,0.24,0.5,0.09,0.28,1.12,0.16,0.21,0.7
3-6-1,0.0,0.35,0.0,0.6,0.65,1.32,0.43,0.04,0.67,0.09,0.21,0.37
3-6-2,0.0,0.47,0.13,0.91,0.71,0.87,0.12,0.0,0.54,0.16,0.42,0.11
3-6-4,0.06,0.27,0.2,0.55,0.77,1.1,0.4,0.2,0.27,0.5,0.42,0.33
3-6-5,0.0,0.39,0.07,0.3,0.18,0.82,0.15,0.12,0.54,0.22,0.17,0.51
4-1-2,1.93,1.24,0.26,0.35,0.95,0.46,0.37,1.04,0.22,2.12,1.4,0.81
4-1-3,2.53,0.23,0.4,0.1,1.3,0.91,0.4,0.4,0.18,1.34,1.52,0.88
4-1-5,2.72,0.86,0.93,0.15,0.24,0.46,0.37,0.8,0.67,1.78,0.85,1.17
4-1-6,0.42,1.05,0.13,0.0,1.42,1.19,0.59,0.44,0.76,1.69,0.8,0.55
4-2-1,1.87,0.78,0.66,0.1,1.07,0.37,0.4,0.76,0.31,0.78,1.35,0.4
4-2-3,1.21,0.62,0.26,0.3,0.41,0.5,0.25,0.32,0.09,0.41,1.69,0.4
4-2-5,0.97,0.93,0.79,0.2,0.12,0.18,0.09,1.04,0.27,0.31,0.72,0.62
4-2-6,0.18,1.56,0.2,0.2,0.89,0.46,0.0,0.4,0.54,0.34,0.59,0.29
4-3-1,1.15,0.27,0.26,0.1,0.77,0.91,0.28,0.16,0.18,0.69,1.18,0.62
4-3-2,0.72,0.23,0.53,0.15,0.36,0.32,0.19,0.48,0.13,0.31,1.14,0.29
4-3-5,0.78,0.35,0.66,0.15,0.12,0.73,0.25,0.24,0.04,0.47,0.76,0.95
4-3-6,0.18,0.43,0.07,0.05,0.65,1.05,0.22,0.0,0.31,0.47,0.97,0.55
4-5-1,1.99,0.74,0.53,0.15,0.12,0.37,0.37,1.04,0.58,1.34,0.72,1.32
4-5-2,0.54,0.82,1.13,0.15,0.12,0.41,0.22,1.29,0.4,0.62,0.63,0.4
4-5-3,0.6,0.16,0.79,0.15,0.18,0.41,0.31,0.4,0.13,0.53,0.68,0.84
4-5-6,0.3,1.01,0.0,0.2,0.06,0.41,0.28,1.25,0.9,0.94,0.47,1.51
4-6-1,0.18,0.78,0.07,0.1,1.12,0.91,0.34,0.28,0.81,0.66,0.21,0.48
4-6-2,0.18,1.01,0.0,0.25,0.83,0.73,0.15,0.4,0.27,0.41,0.42,0.29
4-6-3,0.12,0.54,0.0,0.0,0.83,0.73,0.09,0.04,0.13,0.34,0.42,0.29
4-6-5,0.12,0.51,0.13,0.15,0.3,0.55,0.06,0.16,0.67,0.53,0.55,0.77
5-1-2,0.06,0.27,1.13,0.55,0.06,0.09,0.56,1.21,0.9,0.47,0.25,0.62
5-1-3,0.48,0.23,1.65,1.06,0.06,0.41,0.22,0.6,1.03,0.16,0.04,1.14
5-1-4,0.78,0.19,0.66,0.05,0.06,0.18,0.4,0.8,0.81,0.5,0.13,0.66
5-1-6,0.24,0.19,0.33,0.66,0.0,0.64,0.22,0.76,1.35,0.53,0.08,0.77
5-2-1,0.18,0.12,0.99,0.5,0.0,0.09,0.19,0.92,0.27,0.06,0.17,0.51
5-2-3,0.18,0.23,0.93,0.71,0.06,0.0,0.12,0.52,0.54,0.06,0.17,0.48
5-2-4,0.36,0.23,0.46,0.2,0.0,0.09,0.15,1.0,0.18,0.19,0.34,0.33
5-2-6,0.0,0.58,0.07,0.45,0.0,0.14,0.19,0.76,0.63,0.16,0.17,0.29
5-3-1,0.06,0.08,0.46,0.45,0.0,0.14,0.12,0.32,0.54,0.16,0.04,0.66
5-3-2,0.12,0.19,0.73,0.66,0.12,0.09,0.12,0.16,0.18,0.03,0.38,0.55
5-3-4,0.12,0.16,0.53,0.25,0.06,0.14,0.12,0.08,0.22,0.09,0.17,0.66
5-3-6,0.06,0.12,0.07,0.35,0.0,0.41,0.03,0.12,0.45,0.09,0.17,0.37
5-4-1,0.6,0.12,0.66,0.2,0.0,0.23,0.22,0.32,0.31,0.5,0.08,0.7
5-4-2,0.18,0.16,0.79,0.05,0.0,0.09,0.15,0.64,0.31,0.16,0.13,0.73
5-4-3,0.3,0.19,0.73,0.1,0.0,0.0,0.15,0.4,0.18,0.19,0.08,0.59
5-4-6,0.12,0.35,0.26,0.2,0.12,0.37,0.28,0.6,0.63,0.41,0.3,0.81
5-6-1,0.06,0.31,0.2,0.66,0.0,0.09,0.12,0.36,0.81,0.12,0.13,0.44
5-6-2,0.06,0.54,0.2,0.45,0.0,0.23,0.0,0.24,0.54,0.06,0.04,0.22
5-6-3,0.0,0.19,0.0,0.3,0.0,0.18,0.12,0.2,0.31,0.0,0.0,0.22
5-6-4,0.0,0.27,0.0,0.15,0.0,0.18,0.12,0.2,0.45,0.12,0.13,0.18
6-1-2,0.0,0.89,0.0,0.5,0.71,0.46,0.06,0.2,0.81,0.16,0.08,0.11
6-1-3,0.06,0.35,0.0,0.35,0.77,0.91,0.19,0.12,0.54,0.12,0.04,0.26
6-1-4,0.0,0.62,0.0,0.05,0.89,0.64,0.19,0.0,0.49,0.34,0.08,0.04
6-1-5,0.06,0.12,0.0,0.1,0.12,0.27,0.09,0.24,0.85,0.16,0.08,0.4
6-2-1,0.06,0.47,0.0,0.15,0.59,0.18,0.06,0.04,0.45,0.03,0.04,0.04
6-2-3,0.0,0.35,0.0,0.5,0.12,0.23,0.12,0.08,0.36,0.03,0.17,0.22
6-2-4,0.0,0.78,0.07,0.2,0.41,0.18,0.06,0.04,0.22,0.09,0.0,0.07
6-2-5,0.0,0.54,0.0,0.3,0.0,0.09,0.06,0.08,0.13,0.0,0.08,0.04
6-3-1,0.12,0.27,0.0,0.25,0.53,0.41,0.15,0.12,0.31,0.06,0.0,0.11
6-3-2,0.0,0.23,0.0,0.35,0.36,0.18,0.09,0.04,0.13,0.03,0.04,0.07
6-3-4,0.0,0.47,0.07,0.05,0.36,0.46,0.06,0.12,0.13,0.06,0.13,0.11
6-3-5,0.06,0.16,0.0,0.2,0.06,0.41,0.03,0.04,0.31,0.06,0.0,0.0
6-4-1,0.06,0.27,0.0,0.0,0.47,0.27,0.09,0.0,0.22,0.09,0.08,0.15
6-4-2,0.12,0.54,0.07,0.1,0.36,0.23,0.0,0.04,0.13,0.09,0.17,0.11
6-4-3,0.06,0.27,0.0,0.1,0.53,0.46,0.03,0.04,0.13,0.03,0.08,0.04
6-4-5,0.0,0.43,0.0,0.1,0.06,0.37,0.0,0.12,0.27,0.12,0.04,0.0
6-5-1,0.06,0.31,0.0,0.15,0.06,0.18,0.0,0.04,0.63,0.16,0.0,0.04
6-5-2,0.0,0.19,0.0,0.35,0.06,0.14,0.06,0.04,0.63,0.09,0.08,0.11
6-5-3,0.0,0.16,0.07,0.15,0.06,0.14,0.03,0.04,0.4,0.03,0.0,0.18
6-5-4,0.06,0.23,0.0,0.05,0.06,0.18,0.06,0.04,0.45,0.03,0.08,0.07
