3連単,型00_1強_6号艇ド弱型,型01_1号艇一強_王道型,型02_3号艇軸_標準型,型03_5号艇エース_展開型,型04_イン凹み_中枠強襲型,型05_6号艇エース_展開型,型06_イン凹み_中枠強襲型,型07_5号艇エース_展開型,型08_1号艇一強_王道型,型09_イン凹み_中枠強襲型,型10_1号艇一強_王道型,型11_4カド一撃型
1-2-3,11.89,11.87,8.03,4.61,5.33,4.77,4.37,6.9,14.09,4.34,10.15,4.56
1-2-4,9.08,9.96,6.45,0.65,5.44,2.61,2.6,4.76,3.34,4.05,8.85,8.9
1-2-5,6.77,1.57,2.59,3.64,4.47,1.26,3.31,3.72,7.57,0.29,6.46,2.87
1-2-6,1.49,5.18,1.5,2.83,2.81,2.94,1.15,0.41,4.73,4.27,4.09,2.78
1-3-2,8.26,8.19,5.7,3.4,2.7,4.08,4.32,4.07,8.8,3.47,5.84,2.0
1-3-4,6.71,8.87,5.25,0.57,2.0,3.92,4.28,2.83,3.23,1.95,5.16,3.3
1-3-5,4.73,1.77,1.99,5.09,1.96,2.57,4.59,2.83,5.35,0.29,4.51,1.43
1-3-6,0.66,3.75,1.76,2.43,1.41,4.28,1.81,0.28,4.01,3.04,2.4,0.96
1-4-2,7.04,5.05,4.17,0.73,2.07,2.53,1.98,2.9,1.84,2.53,5.16,7.16
1-4-3,4.84,5.25,4.32,0.49,1.66,3.3,3.22,2.21,1.56,1.23,3.86,4.21
1-4-5,3.96,1.16,1.35,0.08,1.66,1.47,3.17,2.55,1.11,0.22,2.73,2.91
1-4-6,0.72,3.75,1.01,0.24,1.37,2.77,1.37,0.0,1.06,2.03,2.51,3.21
1-5-2,3.69,0.61,0.86,2.83,3.11,0.78,2.51,3.1,3.45,0.07,3.33,1.22
1-5-3,2.15,0.61,1.05,3.23,1.33,1.18,2.43,2.28,1.78,0.36,2.88,1.04
1-5-4,2.59,0.55,0.64,0.81,1.0,0.65,1.9,2.21,0.56,0.14,2.17,1.43
1-5-6,0.17,0.41,0.23,2.26,1.29,1.1,1.37,0.34,1.61,0.14,1.86,0.96
1-6-2,0.28,1.91,0.56,2.02,1.22,1.47,0.26,0.28,2.45,2.32,1.69,0.96
1-6-3,0.33,1.98,0.56,1.62,0.67,2.2,0.66,0.07,0.95,2.75,1.13,0.43
1-6-4,0.17,1.23,0.3,0.65,0.67,1.92,0.57,0.14,0.5,1.3,0.99,1.3
1-6-5,0.28,0.07,0.34,1.62,0.89,1.26,0.35,0.14,0.5,0.58,1.27,0.91
2-1-3,2.31,1.43,4.02,2.75,3.62,1.75,1.23,3.1,3.56,3.26,1.38,1.22
2-1-4,2.04,1.91,3.68,0.65,3.55,1.18,1.23,2.97,1.17,2.75,1.3,2.65
2-1-5,1.32,0.48,0.86,2.1,3.37,0.73,0.88,2.55,2.0,0.22,1.27,1.26
2-1-6,0.06,0.89,0.79,1.7,1.89,1.43,0.44,0.14,1.17,3.33,0.68,0.96
2-3-1,0.61,0.2,2.18,1.7,0.96,0.98,0.79,1.72,1.5,1.59,0.37,0.39
2-3-4,0.33,0.55,1.88,0.24,1.85,1.06,0.84,2.21,0.28,1.66,0.25,0.43
2-3-5,0.11,0.2,0.75,1.54,1.29,0.41,0.88,2.28,0.61,0.51,0.31,0.26
2-3-6,0.06,0.27,0.53,1.05,1.11,0.86,0.18,0.21,0.28,2.1,0.2,0.26
2-4-1,0.61,0.61,1.24,0.32,1.26,0.29,0.35,1.03,0.33,1.16,0.25,1.61
2-4-3,0.11,0.34,1.5,0.08,1.07,0.57,0.49,1.1,0.11,0.87,0.14,0.91
2-4-5,0.39,0.14,0.86,0.08,1.52,0.12,0.44,1.1,0.06,0.36,0.2,0.96
2-4-6,0.06,0.07,0.56,0.0,0.89,0.57,0.26,0.41,0.11,1.45,0.08,1.3
2-5-1,0.22,0.07,0.26,1.54,1.37,0.29,0.49,1.1,0.89,0.14,0.25,0.65
2-5-3,0.11,0.07,0.45,1.13,0.96,0.08,0.57,1.17,0.45,0.0,0.14,0.09
2-5-4,0.17,0.07,0.34,0.24,0.92,0.2,0.22,1.17,0.17,0.0,0.11,0.13
2-5-6,0.0,0.0,0.08,1.05,0.89,0.24,0.35,0.0,0.17,0.07,0.06,0.09
2-6-1,0.11,0.2,0.08,0.65,0.81,0.69,0.13,0.07,0.39,1.3,0.17,0.43
2-6-3,0.06,0.07,0.11,0.65,0.7,0.53,0.18,0.07,0.22,2.1,0.14,0.13
2-6-4,0.0,0.14,0.11,0.08,0.78,0.29,0.04,0.07,0.06,1.66,0.08,0.3
2-6-5,0.06,0.14,0.08,0.57,0.81,0.24,0.09,0.14,0.06,0.07,0.0,0.17
3-1-2,1.49,1.5,1.65,1.54,0.48,0.98,1.5,1.52,2.06,1.66,0.7,0.48
3-1-4,1.43,1.64,2.63,0.32,0.63,2.12,3.0,1.24,1.11,1.45,0.93,0.91
3-1-5,0.61,0.14,1.28,2.1,0.41,1.26,2.95,1.52,1.17,0.22,0.79,0.43
3-1-6,0.06,0.82,0.75,1.46,0.37,2.12,0.93,0.07,1.06,1.16,0.34,0.35
3-2-1,0.55,0.61,1.58,1.13,0.67,0.65,0.79,0.83,1.34,0.94,0.59,0.48
3-2-4,0.17,0.61,1.88,0.65,0.81,0.61,1.15,1.03,0.17,1.52,0.25,0.43
3-2-5,0.33,0.07,0.94,0.97,0.81,0.61,0.93,1.38,0.28,0.14,0.17,0.13
3-2-6,0.0,0.2,0.26,1.62,0.55,1.22,0.44,0.21,0.33,2.03,0.17,0.13
3-4-1,0.55,0.48,1.2,0.16,0.22,1.06,1.46,1.03,0.28,0.87,0.28,0.35
3-4-2,0.39,0.55,1.28,0.24,0.3,0.61,0.79,0.62,0.22,1.16,0.28,0.35
3-4-5,0.44,0.14,0.83,0.16,0.37,0.94,1.46,0.97,0.17,0.07,0.2,0.17
3-4-6,0.06,0.34,0.45,0.16,0.15,1.35,0.93,0.14,0.06,1.52,0.14,0.26
3-5-1,0.33,0.07,0.3,0.81,0.26,0.33,1.37,0.97,0.67,0.14,0.14,0.09
3-5-2,0.0,0.0,0.6,0.57,0.52,0.24,0.84,0.97,0.33,0.14,0.17,0.17
3-5-4,0.28,0.07,0.53,0.24,0.26,0.33,1.32,0.48,0.17,0.0,0.14,0.22
3-5-6,0.11,0.07,0.49,1.29,0.33,0.69,0.79,0.07,0.06,0.07,0.14,0.09
3-6-1,0.0,0.27,0.26,0.81,0.04,0.57,0.13,0.0,0.33,0.94,0.11,0.09
3-6-2,0.0,0.0,0.15,1.13,0.26,0.9,0.18,0.07,0.06,0.94,0.0,0.0
3-6-4,0.0,0.41,0.23,0.08,0.3,0.82,0.35,0.0,0.06,0.72,0.08,0.17
3-6-5,0.0,0.07,0.26,0.89,0.15,0.69,0.26,0.07,0.17,0.14,0.03,0.04
4-1-2,0.99,1.36,0.83,0.24,0.63,0.53,0.66,0.83,0.11,0.8,0.45,2.3
4-1-3,0.33,1.16,0.86,0.0,0.07,0.73,1.72,0.83,0.28,1.16,0.31,1.3
4-1-5,0.77,0.27,0.9,0.08,0.41,0.49,0.97,1.24,0.22,0.29,0.51,2.3
4-1-6,0.11,0.89,0.6,0.08,0.33,1.31,0.35,0.34,0.28,0.94,0.51,2.0
4-2-1,0.72,0.48,0.83,0.08,0.41,0.33,0.31,0.97,0.11,0.8,0.42,1.13
4-2-3,0.28,0.41,0.79,0.24,0.44,0.53,0.35,0.48,0.11,0.94,0.06,0.96
4-2-5,0.22,0.07,0.49,0.08,0.89,0.16,0.44,1.72,0.17,0.14,0.17,1.22
4-2-6,0.0,0.34,0.26,0.0,0.59,0.61,0.09,0.14,0.11,1.45,0.14,0.65
4-3-1,0.28,0.27,0.53,0.0,0.11,0.65,0.97,1.17,0.06,1.3,0.42,0.61
4-3-2,0.22,0.34,0.68,0.0,0.3,0.41,0.4,0.48,0.0,0.51,0.08,0.35
4-3-5,0.33,0.07,0.45,0.08,0.07,0.73,1.06,0.97,0.0,0.07,0.31,0.65
4-3-6,0.06,0.41,0.3,0.16,0.07,0.82,0.53,0.07,0.0,1.09,0.17,0.39
4-5-1,0.33,0.14,0.3,0.0,0.41,0.41,0.75,1.1,0.22,0.0,0.54,1.13
4-5-2,0.28,0.14,0.41,0.24,0.59,0.24,0.31,0.9,0.22,0.22,0.14,1.0
4-5-3,0.33,0.0,0.49,0.24,0.3,0.41,0.75,0.62,0.06,0.0,0.08,0.69
4-5-6,0.11,0.07,0.15,0.16,0.52,0.57,0.62,0.28,0.06,0.0,0.34,1.04
4-6-1,0.06,0.48,0.23,0.0,0.3,0.65,0.09,0.07,0.11,1.16,0.2,0.74
4-6-2,0.0,0.41,0.19,0.16,0.26,0.12,0.0,0.0,0.11,0.94,0.06,0.74
4-6-3,0.0,0.2,0.08,0.0,0.0,0.78,0.26,0.07,0.06,1.09,0.03,0.22
4-6-5,0.0,0.07,0.04,0.0,0.33,0.65,0.26,0.07,0.0,0.43,0.17,0.3
5-1-2,0.66,0.07,0.34,1.29,0.74,0.2,0.53,1.66,0.39,0.07,0.31,0.35
5-1-3,0.22,0.0,0.3,1.13,0.37,0.33,1.1,1.24,0.17,0.0,0.34,0.35
5-1-4,0.44,0.14,0.19,0.16,0.59,0.24,0.66,0.76,0.28,0.07,0.34,0.61
5-1-6,0.11,0.07,0.19,1.86,0.33,0.33,0.88,0.21,0.28,0.0,0.17,0.39
5-2-1,0.28,0.0,0.19,1.13,0.78,0.2,0.57,0.83,0.67,0.07,0.14,0.17
5-2-3,0.06,0.2,0.15,0.65,0.55,0.08,0.31,0.14,0.22,0.22,0.06,0.17
5-2-4,0.11,0.07,0.19,0.16,0.59,0.12,0.13,0.69,0.06,0.0,0.11,0.35
5-2-6,0.0,0.07,0.08,1.54,0.7,0.12,0.31,0.07,0.22,0.07,0.23,0.17
5-3-1,0.22,0.0,0.11,0.32,0.22,0.16,0.66,0.62,0.22,0.0,0.08,0.09
5-3-2,0.11,0.07,0.04,0.81,0.22,0.04,0.66,0.83,0.06,0.0,0.08,0.04
5-3-4,0.06,0.0,0.19,0.24,0.18,0.08,0.71,0.62,0.11,0.0,0.08,0.22
5-3-6,0.0,0.0,0.04,1.62,0.37,0.12,0.53,0.07,0.11,0.07,0.03,0.04
5-4-1,0.28,0.0,0.08,0.24,0.41,0.16,0.62,0.48,0.17,0.0,0.25,0.61
5-4-2,0.17,0.0,0.08,0.16,0.22,0.12,0.18,0.48,0.06,0.14,0.2,0.35
5-4-3,0.11,0.0,0.19,0.0,0.04,0.24,0.49,0.55,0.06,0.0,0.08,0.13
5-4-6,0.0,0.0,0.15,0.08,0.67,0.24,0.49,0.07,0.06,0.07,0.23,0.39
5-6-1,0.0,0.07,0.04,1.05,0.3,0.37,0.22,0.07,0.06,0.0,0.08,0.22
5-6-2,0.0,0.0,0.04,1.37,0.52,0.16,0.18,0.0,0.11,0.0,0.06,0.09
5-6-3,0.0,0.0,0.08,0.81,0.15,0.16,0.09,0.07,0.06,0.0,0.11,0.17
5-6-4,0.06,0.07,0.0,0.16,0.22,0.16,0.22,0.0,0.0,0.0,0.03,0.39
6-1-2,0.06,0.14,0.08,0.97,0.59,0.61,0.26,0.0,0.39,1.01,0.2,0.43
6-1-3,0.06,0.2,0.11,0.97,0.22,0.82,0.22,0.07,0.17,1.3,0.06,0.09
6-1-4,0.0,0.41,0.11,0.16,0.11,0.73,0.04,0.0,0.06,0.72,0.17,0.3
6-1-5,0.0,0.07,0.04,0.81,0.33,0.49,0.13,0.0,0.0,0.22,0.2,0.26
6-2-1,0.11,0.14,0.11,0.65,0.44,0.45,0.13,0.0,0.39,0.87,0.2,0.09
6-2-3,0.0,0.07,0.19,0.4,0.3,0.16,0.04,0.0,0.22,1.16,0.06,0.0
6-2-4,0.0,0.0,0.04,0.16,0.18,0.29,0.0,0.0,0.11,0.58,0.11,0.17
6-2-5,0.0,0.0,0.04,0.57,0.26,0.2,0.13,0.0,0.06,0.07,0.08,0.13
6-3-1,0.0,0.0,0.0,0.4,0.07,0.49,0.09,0.0,0.11,0.72,0.11,0.04
6-3-2,0.0,0.14,0.19,0.24,0.22,0.45,0.09,0.0,0.11,0.51,0.11,0.09
6-3-4,0.06,0.07,0.11,0.16,0.11,0.37,0.04,0.0,0.06,0.51,0.06,0.04
6-3-5,0.0,0.07,0.08,0.49,0.07,0.33,0.18,0.07,0.0,0.07,0.08,0.09
6-4-1,0.0,0.27,0.11,0.08,0.26,0.24,0.0,0.14,0.0,0.72,0.03,0.22
6-4-2,0.06,0.0,0.04,0.24,0.22,0.16,0.09,0.0,0.0,0.58,0.0,0.13
6-4-3,0.0,0.07,0.08,0.08,0.07,0.29,0.0,0.07,0.06,0.72,0.03,0.13
6-4-5,0.06,0.0,0.0,0.0,0.15,0.45,0.04,0.0,0.06,0.07,0.08,0.17
6-5-1,0.06,0.07,0.04,0.89,0.11,0.33,0.04,0.0,0.11,0.07,0.06,0.17
6-5-2,0.0,0.0,0.0,0.65,0.18,0.12,0.04,0.0,0.11,0.0,0.03,0.04
6-5-3,0.0,0.14,0.08,1.05,0.18,0.24,0.04,0.07,0.06,0.14,0.0,0.09
6-5-4,0.0,0.07,0.0,0.16,0.15,0.2,0.09,0.0,0.06,0.0,0.06,0.17
