3連単,型00_イン凹み_中枠強襲型,型01_4カド一撃型,型02_3号艇軸_標準型,型03_2号艇軸_標準型,型04_5号艇エース_展開型,型05_4カド一撃型,型06_6号艇エース_展開型,型07_6号艇ド弱_壁抜け型,型08_5号艇エース_展開型,型09_5号艇エース_展開型,型10_6号艇エース_展開型,型11_イン凹み_中枠強襲型
1-2-3,4.67,4.15,6.97,13.03,5.69,6.09,7.87,8.02,7.82,6.44,6.04,4.45
1-2-4,6.54,6.32,2.83,10.0,6.24,8.23,6.12,3.18,1.78,5.17,4.7,3.11
1-2-5,4.89,2.34,1.61,3.63,5.83,1.86,3.49,2.93,5.69,5.8,0.61,2.31
1-2-6,3.19,2.16,2.44,2.95,0.54,0.58,7.51,0.38,2.93,2.38,4.39,1.54
1-3-2,2.76,2.87,7.66,6.44,3.12,4.35,3.63,9.16,5.12,4.6,5.06,4.05
1-3-4,1.74,6.1,8.4,4.62,2.24,7.13,2.74,7.82,1.73,4.63,4.88,4.55
1-3-5,1.7,1.7,5.7,2.69,2.51,1.8,2.39,6.11,4.43,5.07,0.92,2.07
1-3-6,0.93,2.31,6.27,1.63,0.14,0.7,4.24,0.7,3.11,2.63,3.36,1.77
1-4-2,4.12,7.81,2.09,4.77,3.53,8.87,2.35,2.8,0.86,3.36,4.64,2.21
1-4-3,1.36,7.52,3.74,3.82,2.31,7.36,2.14,4.01,1.04,3.55,4.15,3.28
1-4-5,1.91,5.39,1.57,2.42,2.17,4.46,1.42,2.29,0.46,3.04,0.12,1.97
1-4-6,1.44,5.64,1.26,1.29,0.27,0.7,3.17,0.32,0.35,2.41,2.68,1.74
1-5-2,2.46,1.24,0.96,1.67,3.39,1.28,1.21,1.91,3.74,5.26,0.18,1.37
1-5-3,1.49,1.35,1.48,1.25,2.85,0.93,1.39,2.48,3.39,4.15,0.06,1.67
1-5-4,1.4,2.2,0.7,0.87,2.24,1.57,1.17,1.53,0.69,4.03,0.12,1.3
1-5-6,1.06,1.1,0.96,0.49,0.41,0.17,2.03,0.13,2.13,2.32,0.18,0.67
1-6-2,1.06,1.21,1.22,0.45,0.41,0.23,4.59,0.06,1.96,0.98,2.99,0.9
1-6-3,0.59,1.17,2.57,0.64,0.2,0.17,2.85,0.19,1.9,1.01,1.83,1.04
1-6-4,0.89,1.7,1.0,0.53,0.14,0.29,2.46,0.19,0.35,1.33,1.77,0.4
1-6-5,0.81,0.67,0.57,0.49,0.0,0.06,2.14,0.13,1.09,0.95,0.43,0.67
2-1-3,2.89,0.71,1.65,2.61,3.12,1.39,1.35,1.91,2.07,0.92,2.5,2.14
2-1-4,3.7,1.49,0.57,3.48,3.25,2.84,0.93,1.84,1.21,0.92,1.4,1.54
2-1-5,3.19,0.25,0.3,1.44,2.92,0.46,0.96,0.7,3.51,0.98,0.12,1.24
2-1-6,2.0,0.35,0.39,1.86,0.47,0.06,1.67,0.19,1.15,0.54,1.65,0.57
2-3-1,1.15,0.14,0.52,1.44,1.22,0.75,0.64,0.83,1.32,0.38,1.77,1.3
2-3-4,1.06,0.28,0.39,1.21,1.76,0.75,0.18,1.4,0.58,0.38,1.04,1.97
2-3-5,0.72,0.14,0.13,0.72,1.36,0.17,0.18,0.76,1.44,0.16,0.18,1.2
2-3-6,0.55,0.11,0.57,0.45,0.07,0.23,0.61,0.0,0.86,0.16,0.98,0.6
2-4-1,1.27,0.46,0.17,1.02,1.15,1.16,0.32,0.38,0.4,0.57,1.04,0.9
2-4-3,1.1,0.25,0.26,0.64,0.88,1.33,0.28,0.25,0.29,0.1,1.22,1.2
2-4-5,1.53,0.28,0.09,0.42,1.63,0.12,0.14,0.06,0.35,0.13,0.24,0.87
2-4-6,1.1,0.28,0.09,0.34,0.2,0.23,0.5,0.06,0.29,0.16,0.61,0.67
2-5-1,1.27,0.14,0.22,0.45,1.29,0.17,0.21,0.32,0.92,0.32,0.0,0.57
2-5-3,0.81,0.0,0.3,0.34,1.49,0.17,0.11,0.45,1.04,0.29,0.06,0.57
2-5-4,0.98,0.04,0.13,0.19,1.02,0.35,0.21,0.06,0.58,0.25,0.0,0.47
2-5-6,0.98,0.04,0.04,0.23,0.2,0.06,0.14,0.06,1.44,0.32,0.0,0.2
2-6-1,0.64,0.04,0.17,0.19,0.14,0.12,0.78,0.0,0.52,0.13,1.16,0.27
2-6-3,0.38,0.04,0.22,0.3,0.07,0.0,0.43,0.0,0.75,0.16,1.04,0.4
2-6-4,0.59,0.11,0.09,0.19,0.07,0.06,0.28,0.06,0.17,0.1,0.67,0.33
2-6-5,0.51,0.07,0.17,0.04,0.07,0.0,0.39,0.0,0.4,0.06,0.12,0.17
3-1-2,0.25,0.32,2.48,1.33,0.88,1.04,0.82,3.75,1.09,0.29,2.26,1.17
3-1-4,0.51,1.53,3.31,1.4,0.68,1.97,0.71,3.69,0.52,0.63,2.07,2.71
3-1-5,0.42,0.53,3.09,0.8,1.08,0.46,0.39,3.37,1.73,0.89,0.18,1.81
3-1-6,0.3,0.57,2.96,0.49,0.0,0.23,1.07,0.38,0.92,0.57,1.65,0.64
3-2-1,0.34,0.14,1.22,0.49,0.75,0.46,0.28,1.53,1.27,0.16,1.22,1.0
3-2-4,0.47,0.25,0.61,0.95,0.88,0.58,0.28,1.27,0.58,0.22,0.73,1.04
3-2-5,0.38,0.04,0.17,0.42,1.29,0.35,0.04,1.21,1.5,0.35,0.18,1.17
3-2-6,0.17,0.07,0.44,0.38,0.0,0.12,0.25,0.13,0.58,0.13,0.92,0.74
3-4-1,0.38,0.96,1.57,0.42,0.61,1.51,0.43,2.29,0.12,0.38,1.04,1.1
3-4-2,0.47,0.18,0.83,0.42,0.41,0.64,0.32,1.08,0.17,0.16,1.04,1.24
3-4-5,0.17,0.25,0.78,0.11,0.95,0.7,0.11,1.34,0.35,0.51,0.31,1.6
3-4-6,0.34,0.39,1.04,0.15,0.2,0.06,0.28,0.19,0.29,0.29,1.28,0.87
3-5-1,0.34,0.18,0.74,0.42,1.02,0.29,0.32,1.21,0.63,0.73,0.0,0.6
3-5-2,0.08,0.04,0.48,0.34,0.27,0.12,0.04,1.21,0.58,0.06,0.06,0.53
3-5-4,0.21,0.04,0.65,0.08,1.02,0.29,0.14,1.53,0.46,0.32,0.06,1.1
3-5-6,0.25,0.07,0.35,0.08,0.14,0.06,0.32,0.19,1.09,0.29,0.18,0.53
3-6-1,0.08,0.0,0.96,0.19,0.0,0.12,0.36,0.06,0.17,0.22,0.73,0.37
3-6-2,0.04,0.11,0.26,0.04,0.0,0.17,0.28,0.13,0.52,0.1,0.92,0.33
3-6-4,0.04,0.14,0.7,0.08,0.07,0.06,0.21,0.06,0.23,0.16,0.67,0.43
3-6-5,0.21,0.04,0.39,0.08,0.07,0.0,0.28,0.13,0.4,0.22,0.24,0.3
4-1-2,0.89,1.7,0.17,0.98,0.75,3.01,0.71,0.25,0.06,0.32,1.4,0.57
4-1-3,0.3,1.53,0.57,0.42,0.54,2.14,0.07,0.89,0.12,0.57,1.1,0.57
4-1-5,0.81,2.27,0.48,0.3,1.49,2.26,0.36,0.45,0.12,1.01,0.31,0.67
4-1-6,0.72,1.85,0.61,0.49,0.2,0.7,0.96,0.13,0.0,0.67,1.04,0.47
4-2-1,1.4,1.03,0.17,0.8,0.88,1.33,0.32,0.51,0.12,0.32,0.92,0.67
4-2-3,0.55,0.39,0.17,0.45,0.95,1.39,0.21,0.19,0.06,0.13,0.61,0.57
4-2-5,1.49,0.43,0.0,0.23,1.08,0.75,0.21,0.13,0.23,0.22,0.24,0.5
4-2-6,0.64,0.78,0.13,0.11,0.2,0.23,0.39,0.06,0.17,0.16,0.73,0.53
4-3-1,0.3,0.82,0.7,0.27,0.47,1.1,0.11,0.57,0.23,0.22,0.49,0.67
4-3-2,0.25,0.28,0.17,0.3,0.34,1.22,0.18,0.32,0.06,0.1,0.73,0.67
4-3-5,0.25,0.67,0.26,0.11,0.88,1.16,0.25,0.7,0.12,0.32,0.0,1.24
4-3-6,0.25,0.64,0.39,0.15,0.14,0.35,0.11,0.13,0.06,0.13,0.49,0.8
4-5-1,0.68,1.06,0.26,0.49,1.22,1.74,0.5,0.64,0.17,0.7,0.06,0.74
4-5-2,1.23,0.71,0.04,0.3,1.69,1.04,0.18,0.32,0.17,0.35,0.12,0.67
4-5-3,0.25,0.57,0.35,0.15,0.81,0.7,0.18,0.95,0.12,0.35,0.12,0.53
4-5-6,0.76,1.17,0.13,0.19,0.27,0.41,0.25,0.06,0.23,0.73,0.31,1.04
4-6-1,0.34,1.17,0.39,0.11,0.07,0.12,0.39,0.0,0.06,0.32,0.85,0.23
4-6-2,0.64,0.21,0.13,0.08,0.07,0.12,0.32,0.0,0.06,0.16,0.67,0.2
4-6-3,0.21,0.57,0.13,0.11,0.0,0.0,0.32,0.0,0.0,0.03,0.92,0.43
4-6-5,0.81,0.67,0.09,0.08,0.07,0.17,0.18,0.0,0.12,0.22,0.31,0.6
5-1-2,0.76,0.11,0.22,0.19,1.56,0.23,0.39,0.38,1.55,1.05,0.06,0.5
5-1-3,0.34,0.25,0.3,0.19,1.22,0.29,0.32,0.83,0.92,1.08,0.06,0.8
5-1-4,0.51,0.32,0.26,0.3,0.88,0.58,0.14,0.64,0.4,0.89,0.06,0.53
5-1-6,0.72,0.39,0.13,0.34,0.14,0.12,0.5,0.06,0.98,0.98,0.12,0.3
5-2-1,0.76,0.21,0.13,0.15,1.15,0.06,0.0,0.19,0.81,0.29,0.12,0.3
5-2-3,0.42,0.04,0.04,0.08,1.02,0.17,0.18,0.25,0.69,0.13,0.0,0.27
5-2-4,0.42,0.14,0.0,0.04,0.75,0.17,0.07,0.25,0.35,0.06,0.06,0.23
5-2-6,0.42,0.04,0.09,0.08,0.41,0.06,0.07,0.0,0.35,0.16,0.0,0.33
5-3-1,0.3,0.04,0.22,0.11,0.54,0.0,0.11,0.7,0.69,0.48,0.0,0.47
5-3-2,0.34,0.04,0.09,0.15,0.47,0.06,0.04,0.32,0.69,0.19,0.06,0.4
5-3-4,0.21,0.11,0.13,0.11,0.2,0.29,0.21,0.45,0.06,0.35,0.0,0.43
5-3-6,0.04,0.07,0.22,0.11,0.14,0.0,0.14,0.0,0.69,0.25,0.06,0.53
5-4-1,0.25,0.53,0.04,0.19,0.75,0.35,0.14,0.19,0.17,0.7,0.06,0.37
5-4-2,0.72,0.04,0.0,0.0,0.61,0.23,0.07,0.25,0.4,0.38,0.0,0.43
5-4-3,0.21,0.07,0.0,0.11,0.34,0.23,0.11,0.32,0.12,0.29,0.0,0.27
5-4-6,0.51,0.18,0.13,0.11,0.0,0.0,0.11,0.13,0.06,0.44,0.18,0.3
5-6-1,0.3,0.14,0.0,0.11,0.14,0.06,0.36,0.0,0.58,0.16,0.12,0.2
5-6-2,0.17,0.07,0.04,0.04,0.07,0.0,0.25,0.0,0.75,0.19,0.12,0.1
5-6-3,0.04,0.07,0.09,0.0,0.14,0.0,0.11,0.0,0.46,0.25,0.0,0.17
5-6-4,0.04,0.04,0.04,0.11,0.14,0.06,0.07,0.06,0.12,0.35,0.18,0.23
6-1-2,0.42,0.32,0.3,0.11,0.0,0.06,1.14,0.0,0.58,0.1,0.73,0.2
6-1-3,0.13,0.18,0.57,0.15,0.0,0.06,0.68,0.0,0.69,0.1,0.85,0.4
6-1-4,0.21,0.39,0.26,0.11,0.07,0.06,0.85,0.0,0.0,0.1,0.92,0.13
6-1-5,0.21,0.18,0.09,0.04,0.0,0.0,0.39,0.0,0.12,0.22,0.12,0.23
6-2-1,0.38,0.11,0.13,0.15,0.0,0.0,0.57,0.0,0.29,0.13,0.31,0.07
6-2-3,0.13,0.0,0.09,0.11,0.07,0.0,0.25,0.0,0.35,0.0,0.49,0.17
6-2-4,0.04,0.18,0.09,0.04,0.07,0.0,0.5,0.0,0.17,0.0,0.55,0.17
6-2-5,0.17,0.04,0.04,0.0,0.0,0.0,0.14,0.0,0.12,0.1,0.12,0.03
6-3-1,0.08,0.11,0.52,0.15,0.0,0.0,0.57,0.13,0.4,0.0,0.55,0.13
6-3-2,0.13,0.07,0.17,0.11,0.0,0.0,0.36,0.0,0.0,0.0,0.24,0.03
6-3-4,0.04,0.07,0.26,0.11,0.0,0.12,0.18,0.0,0.06,0.0,0.43,0.27
6-3-5,0.0,0.11,0.09,0.04,0.0,0.0,0.28,0.0,0.12,0.0,0.06,0.17
6-4-1,0.04,0.28,0.09,0.0,0.0,0.06,0.36,0.0,0.0,0.13,0.55,0.13
6-4-2,0.13,0.07,0.0,0.04,0.07,0.0,0.28,0.0,0.12,0.03,0.12,0.37
6-4-3,0.0,0.11,0.13,0.0,0.0,0.0,0.21,0.0,0.06,0.0,0.24,0.1
6-4-5,0.13,0.25,0.0,0.0,0.0,0.06,0.39,0.0,0.12,0.06,0.18,0.1
6-5-1,0.08,0.04,0.09,0.08,0.0,0.0,0.39,0.0,0.35,0.22,0.0,0.03
6-5-2,0.08,0.0,0.0,0.08,0.0,0.0,0.36,0.0,0.12,0.1,0.06,0.1
6-5-3,0.13,0.0,0.0,0.0,0.0,0.0,0.18,0.06,0.35,0.1,0.0,0.07
6-5-4,0.08,0.07,0.0,0.0,0.0,0.12,0.18,0.06,0.0,0.13,0.06,0.0
