3連単,型00_1号艇一強_王道型,型01_6号艇エース_展開型,型02_5号艇エース_展開型,型03_1号艇一強_王道型,型04_6号艇ド弱_壁抜け型,型05_イン凹み_中枠強襲型,型06_4カド一撃型,型07_2号艇ド弱_壁抜け型,型08_5号艇エース_展開型,型09_1強_6号艇ド弱型,型10_イン凹み_中枠強襲型,型11_5号艇エース_展開型
1-2-3,11.21,7.43,3.08,6.71,6.29,5.55,6.39,5.31,6.03,8.04,3.18,4.12
1-2-4,5.76,3.28,3.27,11.41,4.65,3.63,4.8,4.19,3.14,15.15,1.06,3.59
1-2-5,5.56,2.41,2.82,3.8,1.5,2.41,0.38,1.84,5.05,5.29,2.8,5.92
1-2-6,2.71,5.81,2.79,3.37,0.64,2.2,4.13,1.4,0.77,0.78,2.41,4.8
1-3-2,7.33,4.73,2.42,4.21,6.65,3.53,5.0,5.48,4.02,5.71,3.9,2.33
1-3-4,4.47,2.9,2.75,3.92,8.73,3.74,5.43,8.24,3.35,4.25,1.88,1.41
1-3-5,4.73,2.53,2.27,1.45,3.86,1.36,0.72,3.75,3.56,1.82,4.05,1.8
1-3-6,1.93,5.02,2.71,1.54,0.72,1.71,3.07,2.83,0.77,0.47,3.81,1.55
1-4-2,3.05,2.03,2.16,8.1,5.15,3.53,3.6,3.92,2.06,10.01,0.63,1.5
1-4-3,2.6,1.74,2.9,2.82,8.37,2.31,4.76,5.69,2.06,4.51,1.01,0.73
1-4-5,2.07,0.83,3.01,3.57,2.36,1.12,0.58,2.83,3.4,4.05,0.96,1.36
1-4-6,1.26,2.41,2.49,3.13,0.64,1.71,2.83,2.21,0.36,0.78,1.4,1.12
1-5-2,3.38,1.24,2.71,1.74,0.72,1.29,0.48,0.92,2.94,1.76,1.78,4.37
1-5-3,2.57,0.75,2.45,1.02,0.79,1.05,0.29,1.57,2.63,0.88,2.99,2.13
1-5-4,1.12,0.66,1.71,1.83,0.86,1.05,0.1,1.6,2.06,1.09,0.77,0.78
1-5-6,1.4,0.95,2.3,0.96,0.14,0.59,0.14,0.85,0.82,0.26,2.55,2.33
1-6-2,0.98,4.02,1.75,1.51,0.07,0.8,2.02,0.68,0.46,0.31,1.45,2.43
1-6-3,0.73,3.11,1.15,0.81,0.36,0.66,1.15,1.09,0.26,0.16,1.4,0.78
1-6-4,0.7,2.24,2.04,1.07,0.0,0.91,1.97,0.99,0.15,0.21,0.72,0.82
1-6-5,0.64,1.33,1.49,0.75,0.07,0.52,0.48,0.78,0.05,0.1,1.59,1.8
2-1-3,3.52,2.53,0.78,2.06,2.43,3.28,2.59,1.09,2.58,2.07,1.83,2.28
2-1-4,1.15,1.74,1.19,2.99,2.0,2.38,3.17,0.89,1.7,4.62,0.24,0.97
2-1-5,1.51,0.83,0.78,1.65,0.79,1.5,0.38,0.48,2.89,1.45,1.25,3.15
2-1-6,0.92,2.16,1.15,1.19,0.21,1.29,1.44,0.37,0.26,0.26,1.01,2.57
2-3-1,0.89,0.83,0.45,0.41,1.43,1.57,1.59,0.68,0.62,0.57,0.63,0.63
2-3-4,0.45,0.29,0.82,0.32,1.22,1.75,1.15,0.61,0.98,0.52,0.72,0.53
2-3-5,0.73,0.41,0.3,0.26,0.36,1.43,0.0,0.37,1.65,0.41,1.4,0.97
2-3-6,0.48,0.83,0.41,0.23,0.21,0.73,0.67,0.17,0.15,0.16,0.63,0.58
2-4-1,0.22,0.58,0.59,1.13,0.79,1.15,1.63,0.37,0.67,1.71,0.14,0.63
2-4-3,0.45,0.37,0.63,0.41,0.72,1.15,1.2,0.34,0.93,0.52,0.39,0.63
2-4-5,0.17,0.29,0.67,0.73,0.29,0.91,0.14,0.24,0.88,0.41,0.43,0.92
2-4-6,0.11,0.29,0.41,0.61,0.0,0.77,0.77,0.2,0.15,0.05,0.43,0.73
2-5-1,0.48,0.17,0.33,0.38,0.29,0.66,0.1,0.1,1.49,0.21,0.34,1.12
2-5-3,0.59,0.04,0.3,0.06,0.0,1.01,0.05,0.14,1.24,0.52,0.92,0.97
2-5-4,0.39,0.17,0.22,0.26,0.36,0.94,0.1,0.14,1.6,0.31,0.29,0.73
2-5-6,0.17,0.33,0.15,0.09,0.0,0.49,0.05,0.07,0.15,0.16,0.72,1.41
2-6-1,0.22,0.79,0.41,0.2,0.0,0.38,0.34,0.07,0.0,0.05,0.48,0.92
2-6-3,0.22,1.12,0.41,0.09,0.07,0.56,0.72,0.03,0.15,0.0,0.58,0.44
2-6-4,0.08,0.58,0.15,0.38,0.0,0.56,0.53,0.27,0.15,0.05,0.19,0.39
2-6-5,0.11,0.66,0.19,0.15,0.0,0.24,0.1,0.03,0.26,0.0,0.43,1.02
3-1-2,1.59,1.24,0.56,0.46,1.72,1.08,1.92,1.26,0.98,0.36,1.54,0.49
3-1-4,1.29,0.95,0.78,0.96,5.08,1.71,2.74,3.2,0.88,0.83,1.16,0.39
3-1-5,1.31,0.75,1.04,0.38,1.22,1.22,0.43,2.38,2.06,0.52,2.07,0.29
3-1-6,0.81,1.99,0.45,0.2,0.72,0.66,1.59,1.46,0.21,0.05,2.8,0.53
3-2-1,0.95,0.62,0.41,0.26,0.64,0.73,0.86,0.41,1.03,0.52,1.06,0.24
3-2-4,0.48,0.37,0.3,0.35,1.65,1.78,1.3,0.78,1.39,0.36,0.77,0.39
3-2-5,0.62,0.21,0.63,0.09,0.36,1.19,0.1,0.27,0.72,0.21,1.25,0.53
3-2-6,0.25,0.58,0.26,0.15,0.07,0.91,0.86,0.24,0.21,0.1,0.96,0.58
3-4-1,0.39,0.29,0.71,0.32,2.29,0.87,1.25,1.46,0.88,0.47,0.48,0.15
3-4-2,0.31,0.37,0.33,0.26,1.65,1.12,0.43,1.06,0.82,0.21,0.53,0.19
3-4-5,0.45,0.46,0.89,0.2,1.57,0.91,0.24,1.19,1.49,0.31,0.67,0.24
3-4-6,0.25,0.58,0.67,0.44,0.36,0.8,0.96,0.99,0.31,0.1,0.96,0.19
3-5-1,0.59,0.46,0.33,0.26,0.64,0.42,0.1,0.58,1.39,0.1,1.25,0.44
3-5-2,0.56,0.21,0.33,0.06,0.5,0.28,0.05,0.31,0.88,0.21,1.06,0.53
3-5-4,0.2,0.33,0.45,0.09,0.36,0.45,0.05,0.65,0.93,0.21,0.72,0.44
3-5-6,0.11,0.37,0.59,0.06,0.07,0.49,0.0,0.27,0.26,0.0,1.93,0.68
3-6-1,0.17,0.75,0.22,0.12,0.14,0.42,0.77,0.17,0.05,0.05,0.82,0.24
3-6-2,0.14,0.46,0.15,0.09,0.0,0.52,0.34,0.14,0.0,0.1,0.67,0.19
3-6-4,0.06,0.21,0.52,0.12,0.07,0.28,0.53,0.34,0.05,0.05,0.67,0.19
3-6-5,0.17,0.5,0.45,0.12,0.07,0.21,0.14,0.24,0.31,0.05,1.3,0.15
4-1-2,0.56,0.5,0.37,1.8,1.43,1.15,1.73,1.53,0.72,2.54,0.24,0.53
4-1-3,0.53,0.46,0.74,0.67,1.72,0.59,0.77,2.04,0.72,0.93,0.1,0.29
4-1-5,0.36,0.62,1.56,1.65,1.5,0.59,0.62,1.09,1.08,1.4,0.24,0.29
4-1-6,0.45,0.62,1.23,1.1,0.29,0.66,1.49,0.85,0.31,0.36,0.24,0.53
4-2-1,0.25,0.46,0.59,1.02,0.86,0.91,1.01,0.61,1.03,1.14,0.14,0.24
4-2-3,0.2,0.37,0.3,0.23,1.14,0.87,1.01,0.61,0.36,0.67,0.14,0.15
4-2-5,0.22,0.12,0.89,0.44,0.93,0.52,0.24,0.44,0.88,0.73,0.34,0.63
4-2-6,0.2,0.46,0.89,0.84,0.07,0.59,0.82,0.31,0.26,0.47,0.19,0.39
4-3-1,0.53,0.12,0.41,0.35,1.22,0.56,1.01,1.5,0.26,0.31,0.19,0.19
4-3-2,0.17,0.0,0.45,0.17,0.79,0.77,0.38,0.58,0.31,0.26,0.39,0.19
4-3-5,0.17,0.17,0.48,0.2,1.0,0.73,0.24,1.16,0.72,0.26,0.53,0.15
4-3-6,0.22,0.21,0.59,0.17,0.36,0.63,0.62,0.58,0.05,0.26,0.43,0.05
4-5-1,0.53,0.29,0.63,0.87,0.72,0.73,0.1,0.72,1.44,0.99,0.43,0.39
4-5-2,0.31,0.25,0.89,0.38,0.57,0.7,0.1,0.31,1.24,0.52,0.24,0.63
4-5-3,0.25,0.17,0.74,0.23,0.86,0.52,0.1,0.37,0.72,0.36,0.48,0.1
4-5-6,0.17,0.54,1.71,0.38,0.21,0.7,0.14,0.51,0.26,0.31,0.48,0.34
4-6-1,0.2,0.54,0.59,0.49,0.14,0.28,0.96,0.41,0.0,0.05,0.19,0.44
4-6-2,0.06,0.12,0.52,0.46,0.14,0.63,0.72,0.31,0.1,0.21,0.19,0.19
4-6-3,0.08,0.12,0.67,0.15,0.14,0.45,0.58,0.2,0.1,0.1,0.24,0.15
4-6-5,0.11,0.25,0.97,0.26,0.14,0.42,0.19,0.34,0.1,0.05,0.29,0.39
5-1-2,0.64,0.54,0.97,0.35,0.21,0.28,0.19,0.1,1.08,0.47,0.63,1.46
5-1-3,0.81,0.25,0.67,0.23,0.14,0.24,0.1,0.37,1.19,0.52,0.96,0.68
5-1-4,0.45,0.21,1.15,0.75,0.29,0.49,0.1,0.44,0.77,0.47,0.24,0.78
5-1-6,0.39,0.41,1.23,0.41,0.07,0.35,0.14,0.37,0.46,0.05,1.06,1.7
5-2-1,0.48,0.12,0.33,0.38,0.21,0.31,0.14,0.07,0.93,0.21,0.48,1.07
5-2-3,0.22,0.12,0.3,0.09,0.29,0.45,0.0,0.03,0.98,0.21,0.53,0.49
5-2-4,0.11,0.21,0.45,0.23,0.14,0.24,0.05,0.14,0.72,0.16,0.1,0.49
5-2-6,0.14,0.17,0.3,0.15,0.0,0.21,0.14,0.03,0.26,0.05,0.67,1.16
5-3-1,0.17,0.12,0.26,0.09,0.14,0.24,0.14,0.31,0.67,0.05,0.58,0.29
5-3-2,0.14,0.12,0.26,0.06,0.07,0.17,0.05,0.14,0.72,0.1,0.72,0.24
5-3-4,0.14,0.12,0.26,0.06,0.07,0.17,0.0,0.1,0.52,0.0,0.39,0.15
5-3-6,0.03,0.12,0.33,0.03,0.0,0.1,0.0,0.1,0.1,0.0,0.63,0.53
5-4-1,0.36,0.12,0.74,0.41,0.21,0.21,0.14,0.34,0.77,0.36,0.43,0.39
5-4-2,0.11,0.04,0.45,0.17,0.14,0.52,0.1,0.1,0.67,0.36,0.05,0.19
5-4-3,0.11,0.08,0.37,0.09,0.21,0.24,0.0,0.27,0.52,0.05,0.39,0.15
5-4-6,0.17,0.21,1.04,0.26,0.14,0.52,0.05,0.37,0.36,0.0,0.48,0.73
5-6-1,0.14,0.37,0.63,0.12,0.0,0.07,0.05,0.1,0.15,0.05,0.87,1.12
5-6-2,0.2,0.25,0.26,0.06,0.0,0.07,0.0,0.1,0.26,0.0,0.58,1.02
5-6-3,0.11,0.21,0.15,0.0,0.0,0.07,0.0,0.07,0.05,0.0,0.96,0.53
5-6-4,0.03,0.25,0.33,0.12,0.0,0.1,0.1,0.03,0.36,0.0,0.43,0.63
6-1-2,0.22,0.95,0.19,0.23,0.14,0.28,0.77,0.1,0.1,0.05,0.43,0.73
6-1-3,0.11,0.79,0.3,0.2,0.0,0.24,0.58,0.17,0.0,0.05,0.82,0.34
6-1-4,0.11,0.5,0.45,0.23,0.0,0.31,0.72,0.07,0.05,0.1,0.24,0.24
6-1-5,0.11,0.33,0.56,0.0,0.07,0.21,0.14,0.1,0.0,0.0,0.87,0.49
6-2-1,0.2,0.41,0.22,0.15,0.14,0.14,0.29,0.07,0.0,0.05,0.19,0.63
6-2-3,0.03,0.75,0.15,0.0,0.0,0.17,0.34,0.07,0.05,0.0,0.29,0.29
6-2-4,0.0,0.37,0.37,0.15,0.0,0.35,0.48,0.07,0.0,0.1,0.19,0.29
6-2-5,0.08,0.21,0.11,0.09,0.0,0.14,0.05,0.03,0.05,0.0,0.72,0.49
6-3-1,0.14,0.71,0.19,0.06,0.0,0.1,0.43,0.17,0.0,0.0,0.43,0.05
6-3-2,0.14,0.33,0.11,0.0,0.0,0.17,0.24,0.0,0.0,0.0,0.39,0.0
6-3-4,0.06,0.25,0.41,0.0,0.07,0.1,0.24,0.24,0.0,0.0,0.29,0.15
6-3-5,0.06,0.21,0.19,0.0,0.0,0.1,0.0,0.03,0.0,0.0,0.39,0.1
6-4-1,0.03,0.37,0.45,0.15,0.0,0.17,0.38,0.1,0.0,0.0,0.05,0.1
6-4-2,0.06,0.12,0.11,0.09,0.0,0.21,0.48,0.03,0.0,0.05,0.14,0.34
6-4-3,0.08,0.41,0.15,0.12,0.0,0.24,0.34,0.07,0.0,0.0,0.05,0.05
6-4-5,0.0,0.12,0.33,0.06,0.0,0.03,0.1,0.03,0.0,0.0,0.24,0.34
6-5-1,0.08,0.17,0.41,0.09,0.0,0.07,0.0,0.1,0.05,0.0,0.34,0.29
6-5-2,0.06,0.08,0.33,0.06,0.0,0.03,0.05,0.1,0.0,0.0,0.39,0.49
6-5-3,0.03,0.17,0.15,0.03,0.0,0.03,0.05,0.03,0.1,0.0,0.34,0.1
6-5-4,0.08,0.08,0.41,0.12,0.0,0.1,0.19,0.07,0.05,0.0,0.14,0.15
