3連単,型00_6号艇エース_展開型,型01_4カド一撃型,型02_2号艇ド弱_壁抜け型,型03_5号艇エース_展開型,型04_イン凹み_中枠強襲型,型05_1強_6号艇ド弱型,型06_6号艇ド弱_壁抜け型,型07_1号艇一強_王道型,型08_イン凹み_中枠強襲型,型09_1号艇一強_王道型,型10_イン凹み_中枠強襲型,型11_6号艇エース_展開型
1-2-3,6.39,4.55,6.35,5.74,7.26,6.36,9.24,8.5,7.3,13.2,5.23,5.94
1-2-4,4.01,6.84,2.96,4.11,7.59,8.15,3.71,8.91,1.39,7.36,4.09,7.34
1-2-5,0.61,2.75,1.04,5.3,4.63,4.1,4.76,0.88,4.26,4.53,1.34,3.39
1-2-6,5.37,1.99,3.29,2.83,2.25,0.57,0.5,2.7,3.68,3.56,2.34,6.2
1-3-2,4.01,4.32,8.09,3.62,4.67,5.61,7.47,5.39,5.28,8.91,4.61,3.39
1-3-4,3.67,7.18,5.41,3.58,2.71,7.87,6.75,8.5,1.23,6.23,5.19,2.25
1-3-5,0.41,2.67,4.71,4.86,1.79,2.92,5.09,1.76,3.73,5.05,2.82,0.95
1-3-6,3.74,1.68,8.19,2.21,0.96,0.33,0.39,2.52,2.93,2.83,2.65,2.47
1-4-2,2.58,7.22,1.74,2.3,3.63,9.94,2.16,6.39,0.8,3.13,2.24,4.57
1-4-3,1.43,6.23,2.31,1.9,3.05,7.35,3.04,6.68,0.69,3.19,2.68,2.47
1-4-5,0.14,4.93,1.36,2.3,2.34,4.47,1.71,1.41,0.37,2.52,1.27,1.75
1-4-6,2.24,3.86,2.07,1.41,1.08,0.99,0.5,3.22,0.48,1.16,1.51,3.42
1-5-2,0.0,1.68,1.27,5.13,2.5,1.74,3.54,0.59,2.83,2.07,0.93,1.41
1-5-3,0.2,1.87,2.07,4.55,1.21,1.51,3.54,0.35,1.39,1.92,1.55,0.72
1-5-4,0.14,2.44,0.52,2.92,1.34,2.83,1.83,0.64,0.59,1.37,0.89,1.03
1-5-6,0.2,0.95,1.98,2.65,0.58,0.09,0.39,0.23,1.33,1.0,0.96,1.29
1-6-2,2.99,0.99,2.54,1.33,0.46,0.24,0.17,1.93,1.76,1.95,1.1,3.2
1-6-3,3.19,1.22,4.14,1.5,0.17,0.05,0.22,1.93,1.17,1.13,1.17,1.48
1-6-4,2.31,1.6,1.98,0.62,0.29,0.24,0.17,1.47,0.43,1.13,1.03,2.05
1-6-5,0.41,0.69,0.89,1.41,0.21,0.19,0.11,0.23,1.07,0.82,0.45,1.07
2-1-3,3.19,0.69,1.04,1.94,3.55,1.51,3.32,1.58,4.21,2.49,2.13,1.94
2-1-4,1.97,1.57,0.66,1.1,4.01,2.21,1.49,2.58,1.33,1.34,1.27,2.4
2-1-5,0.41,0.53,0.47,1.68,2.38,0.94,1.38,0.47,2.77,1.25,0.72,0.99
2-1-6,3.6,0.34,0.71,0.57,1.21,0.24,0.28,0.64,3.2,0.61,1.13,2.05
2-3-1,1.9,0.08,0.75,0.44,1.29,0.57,1.11,0.59,1.49,1.09,1.17,0.65
2-3-4,1.15,0.31,0.09,0.18,1.88,0.47,1.0,0.53,1.01,0.27,1.2,0.27
2-3-5,0.07,0.11,0.19,0.4,1.17,0.14,1.38,0.12,1.33,0.4,0.83,0.3
2-3-6,1.56,0.0,0.47,0.31,0.38,0.05,0.11,0.35,1.92,0.24,0.89,0.38
2-4-1,0.82,0.5,0.14,0.22,1.38,1.22,0.33,0.94,0.16,0.3,0.45,0.76
2-4-3,1.09,0.15,0.38,0.22,1.67,0.75,0.55,0.59,0.43,0.33,0.62,0.34
2-4-5,0.07,0.27,0.05,0.22,1.17,0.42,0.33,0.06,0.53,0.06,0.41,0.57
2-4-6,1.43,0.11,0.09,0.09,0.54,0.09,0.22,0.23,0.53,0.09,0.34,0.91
2-5-1,0.0,0.15,0.05,0.53,1.25,0.14,0.77,0.06,1.33,0.33,0.52,0.3
2-5-3,0.0,0.0,0.09,0.44,0.54,0.14,0.83,0.18,0.96,0.09,0.31,0.19
2-5-4,0.14,0.27,0.0,0.35,0.46,0.14,0.55,0.06,0.75,0.09,0.38,0.3
2-5-6,0.07,0.08,0.09,0.13,0.17,0.0,0.06,0.0,0.85,0.09,0.38,0.49
2-6-1,1.29,0.11,0.42,0.13,0.25,0.05,0.06,0.35,0.96,0.09,0.45,0.53
2-6-3,1.22,0.08,0.19,0.13,0.33,0.0,0.06,0.0,1.07,0.12,0.45,0.65
2-6-4,0.88,0.11,0.05,0.04,0.25,0.0,0.0,0.23,0.37,0.15,0.28,0.91
2-6-5,0.0,0.0,0.19,0.13,0.17,0.0,0.0,0.06,0.85,0.09,0.21,0.46
3-1-2,1.63,0.5,1.98,0.75,0.79,0.8,2.27,1.35,1.23,0.67,1.75,0.27
3-1-4,1.36,1.34,2.07,1.1,1.17,1.55,2.21,1.88,0.32,1.06,1.93,0.57
3-1-5,0.14,0.5,1.69,1.24,0.67,0.8,2.27,0.41,1.23,1.22,1.62,0.38
3-1-6,1.56,0.23,3.81,0.75,0.33,0.09,0.28,0.76,0.8,0.79,1.51,0.76
3-2-1,1.22,0.19,1.04,0.31,0.33,0.57,1.71,0.35,1.33,0.43,0.89,0.15
3-2-4,0.88,0.11,0.19,0.4,1.17,0.61,0.72,0.94,0.59,0.43,1.2,0.42
3-2-5,0.14,0.27,0.33,0.44,0.75,0.52,1.71,0.18,1.76,0.49,0.86,0.08
3-2-6,1.09,0.11,0.47,0.22,0.13,0.05,0.17,0.29,1.17,0.09,1.0,0.38
3-4-1,0.61,0.69,0.8,0.27,0.38,0.52,0.77,1.47,0.11,0.36,1.48,0.08
3-4-2,0.41,0.31,0.19,0.31,0.54,0.28,0.55,0.35,0.37,0.21,1.2,0.11
3-4-5,0.2,0.23,0.47,0.53,0.42,0.61,0.94,0.06,0.43,0.24,1.38,0.19
3-4-6,0.75,0.34,0.47,0.18,0.25,0.0,0.22,0.41,0.32,0.21,0.96,0.19
3-5-1,0.07,0.08,0.42,0.71,0.54,0.28,1.27,0.0,0.85,0.33,0.76,0.11
3-5-2,0.07,0.15,0.19,0.31,0.25,0.0,0.88,0.0,0.85,0.18,0.86,0.11
3-5-4,0.0,0.15,0.14,0.53,0.21,0.14,0.66,0.06,0.32,0.09,0.38,0.11
3-5-6,0.07,0.15,0.52,0.31,0.38,0.09,0.22,0.0,0.59,0.15,0.79,0.04
3-6-1,1.29,0.04,1.18,0.31,0.25,0.0,0.0,0.23,0.48,0.15,0.55,0.15
3-6-2,1.29,0.08,0.33,0.09,0.17,0.05,0.33,0.18,0.43,0.09,0.65,0.15
3-6-4,0.82,0.15,0.8,0.13,0.17,0.0,0.0,0.29,0.37,0.18,0.52,0.3
3-6-5,0.2,0.15,0.61,0.04,0.04,0.0,0.06,0.12,0.43,0.06,0.45,0.15
4-1-2,0.34,2.44,0.19,0.66,1.79,2.31,0.66,2.52,0.16,0.61,0.65,1.18
4-1-3,0.61,1.64,0.38,0.31,0.67,1.51,0.44,1.82,0.11,0.46,1.03,0.3
4-1-5,0.07,2.18,0.14,1.06,0.92,1.93,0.39,0.53,0.16,0.43,0.62,0.76
4-1-6,1.77,2.22,0.47,0.53,0.46,0.42,0.17,1.41,0.21,0.55,0.76,1.75
4-2-1,0.48,0.99,0.14,0.22,0.92,1.08,0.44,0.76,0.48,0.3,0.21,1.18
4-2-3,0.41,0.15,0.14,0.09,0.67,0.47,0.5,0.59,0.05,0.21,0.58,0.27
4-2-5,0.2,0.42,0.0,0.18,1.13,0.71,0.44,0.12,0.27,0.12,0.52,0.53
4-2-6,0.48,0.34,0.05,0.27,0.38,0.19,0.06,0.35,0.21,0.33,0.41,0.91
4-3-1,0.34,0.5,0.42,0.22,0.42,0.94,0.33,0.64,0.16,0.12,0.55,0.27
4-3-2,0.48,0.27,0.09,0.18,0.54,0.52,0.55,0.7,0.11,0.24,0.55,0.42
4-3-5,0.2,0.73,0.28,0.31,0.25,0.66,0.33,0.23,0.0,0.27,0.69,0.11
4-3-6,0.61,0.42,0.24,0.13,0.08,0.14,0.11,0.82,0.11,0.15,1.0,0.53
4-5-1,0.07,1.18,0.24,0.75,0.88,1.46,0.72,0.18,0.27,0.46,0.55,0.34
4-5-2,0.07,0.65,0.0,0.4,0.71,0.42,0.66,0.06,0.0,0.3,0.34,0.49
4-5-3,0.0,0.38,0.19,0.18,0.29,0.8,0.44,0.12,0.05,0.21,0.41,0.15
4-5-6,0.07,1.07,0.33,0.75,0.33,0.28,0.06,0.29,0.32,0.24,0.93,0.76
4-6-1,0.88,0.73,0.24,0.04,0.21,0.14,0.0,1.0,0.11,0.09,0.45,0.99
4-6-2,0.95,0.31,0.09,0.27,0.33,0.05,0.0,0.41,0.05,0.12,0.48,0.68
4-6-3,0.54,0.23,0.09,0.22,0.21,0.0,0.06,0.41,0.11,0.09,0.31,0.11
4-6-5,0.07,0.69,0.33,0.35,0.42,0.09,0.0,0.29,0.21,0.09,0.65,0.38
5-1-2,0.07,0.31,0.14,1.37,0.42,0.42,0.88,0.0,0.91,0.36,0.14,0.42
5-1-3,0.0,0.42,0.42,1.33,0.42,0.33,1.27,0.18,0.85,0.27,0.58,0.04
5-1-4,0.07,0.5,0.09,0.93,0.29,0.85,0.33,0.29,0.16,0.09,0.45,0.19
5-1-6,0.0,0.5,0.33,1.15,0.17,0.14,0.17,0.06,0.37,0.27,0.38,0.49
5-2-1,0.0,0.19,0.05,0.93,0.33,0.24,0.72,0.06,0.69,0.33,0.45,0.23
5-2-3,0.07,0.08,0.05,0.13,0.25,0.14,0.39,0.12,1.01,0.06,0.24,0.11
5-2-4,0.07,0.19,0.05,0.35,0.58,0.14,0.17,0.0,0.11,0.03,0.1,0.27
5-2-6,0.07,0.08,0.05,0.18,0.46,0.05,0.17,0.06,0.64,0.15,0.14,0.3
5-3-1,0.0,0.11,0.28,0.75,0.08,0.09,0.83,0.12,0.53,0.21,0.38,0.0
5-3-2,0.0,0.04,0.05,0.22,0.29,0.05,0.33,0.0,0.48,0.12,0.17,0.08
5-3-4,0.2,0.15,0.05,0.4,0.25,0.14,0.22,0.12,0.05,0.0,0.28,0.3
5-3-6,0.0,0.04,0.14,0.35,0.04,0.0,0.17,0.0,0.27,0.12,0.24,0.23
5-4-1,0.07,0.31,0.09,0.66,0.21,0.52,0.33,0.06,0.16,0.15,0.21,0.15
5-4-2,0.07,0.15,0.05,0.4,0.5,0.24,0.17,0.0,0.0,0.18,0.17,0.23
5-4-3,0.0,0.19,0.09,0.22,0.42,0.09,0.28,0.06,0.0,0.09,0.34,0.08
5-4-6,0.0,0.27,0.14,0.62,0.54,0.14,0.06,0.06,0.11,0.09,0.34,0.38
5-6-1,0.0,0.11,0.28,0.93,0.0,0.14,0.11,0.06,0.53,0.15,0.31,0.38
5-6-2,0.0,0.11,0.14,0.31,0.0,0.05,0.0,0.0,0.43,0.03,0.24,0.15
5-6-3,0.0,0.11,0.19,0.27,0.13,0.05,0.0,0.0,0.64,0.03,0.1,0.11
5-6-4,0.0,0.15,0.09,0.18,0.21,0.05,0.0,0.0,0.21,0.03,0.14,0.38
6-1-2,1.49,0.42,0.75,0.35,0.08,0.0,0.0,0.35,0.64,0.24,0.24,0.91
6-1-3,1.29,0.08,1.6,0.27,0.04,0.09,0.06,0.12,0.53,0.24,0.45,0.65
6-1-4,1.09,0.23,0.38,0.22,0.17,0.0,0.0,0.29,0.11,0.06,0.34,0.84
6-1-5,0.2,0.04,0.42,0.27,0.0,0.09,0.0,0.18,0.27,0.18,0.24,0.42
6-2-1,1.15,0.0,0.19,0.09,0.13,0.0,0.0,0.18,0.48,0.18,0.21,0.57
6-2-3,1.43,0.0,0.09,0.0,0.0,0.05,0.11,0.23,0.48,0.06,0.0,0.19
6-2-4,0.61,0.04,0.14,0.04,0.17,0.0,0.0,0.0,0.32,0.09,0.14,0.65
6-2-5,0.14,0.04,0.09,0.04,0.04,0.0,0.0,0.12,0.48,0.06,0.21,0.11
6-3-1,0.82,0.11,0.85,0.09,0.0,0.0,0.06,0.23,0.11,0.09,0.21,0.15
6-3-2,0.95,0.0,0.19,0.04,0.04,0.05,0.0,0.12,0.37,0.18,0.28,0.19
6-3-4,0.68,0.08,0.09,0.04,0.0,0.0,0.06,0.06,0.11,0.03,0.17,0.11
6-3-5,0.07,0.0,0.24,0.13,0.0,0.0,0.06,0.0,0.43,0.03,0.38,0.0
6-4-1,0.34,0.23,0.47,0.04,0.04,0.05,0.0,0.12,0.0,0.06,0.21,0.57
6-4-2,0.88,0.08,0.24,0.04,0.17,0.0,0.0,0.18,0.21,0.0,0.21,0.38
6-4-3,0.61,0.0,0.24,0.04,0.0,0.05,0.06,0.0,0.11,0.06,0.21,0.23
6-4-5,0.0,0.0,0.0,0.09,0.08,0.0,0.06,0.06,0.16,0.0,0.17,0.23
6-5-1,0.14,0.19,0.19,0.35,0.08,0.05,0.0,0.0,0.21,0.0,0.07,0.46
6-5-2,0.07,0.0,0.19,0.18,0.0,0.0,0.06,0.0,0.27,0.12,0.1,0.0
6-5-3,0.07,0.0,0.09,0.18,0.04,0.0,0.0,0.0,0.43,0.03,0.07,0.08
6-5-4,0.0,0.04,0.0,0.22,0.04,0.0,0.17,0.12,0.27,0.0,0.1,0.08
