3連単,型00_3号艇ド弱_壁抜け型,型01_イン凹み_中枠強襲型,型02_5号艇エース_展開型,型03_4号艇ド弱_壁抜け型,型04_1号艇一強_王道型,型05_2号艇ド弱_壁抜け型,型06_6号艇エース_展開型,型07_4カド一撃型,型08_5号艇エース_展開型,型09_1強_6号艇ド弱型,型10_5号艇エース_展開型,型11_6号艇エース_展開型
1-2-3,7.91,5.26,4.35,15.67,8.26,4.06,6.35,2.11,4.97,10.35,6.36,6.38
1-2-4,11.79,3.98,3.07,4.21,6.08,1.39,4.78,4.13,3.52,12.59,0.74,3.79
1-2-5,3.88,2.29,5.99,3.69,4.68,1.39,0.76,1.62,3.78,3.9,4.88,3.23
1-2-6,3.66,1.56,2.39,3.09,3.68,1.91,3.77,2.65,0.36,0.75,4.22,4.6
1-3-2,4.13,5.42,3.14,10.82,7.67,5.29,6.35,1.98,5.6,5.87,4.81,3.53
1-3-4,3.48,5.07,2.46,3.49,6.7,5.13,5.4,3.95,4.72,5.55,1.11,2.0
1-3-5,1.49,2.84,3.53,4.29,4.77,5.09,1.15,2.2,5.49,1.76,4.36,1.52
1-3-6,0.91,2.26,0.96,2.85,4.3,5.49,3.15,2.29,0.47,0.21,3.92,2.82
1-4-2,7.33,4.21,2.78,2.32,4.43,1.11,3.39,4.63,2.85,6.83,0.52,2.49
1-4-3,3.41,4.11,1.28,2.16,3.84,2.03,3.87,5.07,4.04,4.96,0.3,1.34
1-4-5,2.68,2.04,2.28,0.96,2.28,1.15,0.53,3.28,2.44,2.67,0.3,0.93
1-4-6,2.36,2.01,1.25,0.76,2.99,1.51,2.1,4.4,0.73,0.37,0.59,1.97
1-5-2,1.67,1.43,4.14,1.28,2.31,1.43,0.24,1.21,2.75,2.19,3.48,1.45
1-5-3,0.54,1.31,3.28,1.76,2.4,2.74,0.29,1.39,3.16,0.53,3.77,1.26
1-5-4,0.83,1.34,2.6,0.6,2.0,1.11,0.05,1.84,2.33,1.33,0.89,0.52
1-5-6,0.62,0.64,2.32,0.44,1.81,1.67,0.19,1.39,0.47,0.16,3.03,1.19
1-6-2,1.05,0.41,0.93,1.08,1.78,1.83,1.91,1.62,0.1,0.37,2.29,2.78
1-6-3,0.44,1.27,0.61,0.76,1.59,2.31,2.63,1.17,0.26,0.05,2.07,2.49
1-6-4,0.94,0.41,0.64,0.6,1.53,1.43,2.01,2.83,0.16,0.32,0.67,1.6
1-6-5,0.29,0.45,0.86,0.52,0.84,1.39,0.43,1.44,0.26,0.0,2.66,1.56
2-1-3,2.58,2.1,1.96,4.69,1.09,1.39,2.77,0.67,2.12,2.99,1.85,2.97
2-1-4,5.44,1.82,1.36,1.84,0.84,0.4,2.91,1.48,1.55,6.24,0.22,2.15
2-1-5,1.89,1.08,2.39,2.04,0.56,0.44,0.62,0.58,1.5,2.19,2.44,1.86
2-1-6,1.34,0.7,1.03,1.16,0.41,0.32,1.39,0.63,0.21,0.32,1.78,2.38
2-3-1,0.44,1.56,0.78,2.24,0.75,0.72,0.67,0.49,1.19,1.17,1.33,1.19
2-3-4,0.47,1.02,0.57,0.6,0.16,0.44,1.05,0.22,0.57,0.96,0.0,0.67
2-3-5,0.25,0.76,0.89,0.92,0.12,0.52,0.1,0.22,0.73,0.16,0.67,0.78
2-3-6,0.33,0.38,0.39,0.56,0.22,0.6,1.1,0.31,0.1,0.05,0.67,1.04
2-4-1,1.81,0.67,0.82,0.36,0.41,0.28,1.0,0.85,0.52,1.81,0.0,0.85
2-4-3,0.91,1.27,0.5,0.24,0.19,0.28,0.57,0.09,0.78,0.85,0.0,0.59
2-4-5,0.58,0.45,0.61,0.28,0.28,0.04,0.05,0.22,0.73,1.17,0.07,0.41
2-4-6,0.76,0.29,0.46,0.16,0.12,0.24,0.33,0.54,0.0,0.21,0.0,0.82
2-5-1,0.4,0.32,1.28,0.2,0.12,0.08,0.05,0.22,0.78,0.59,0.81,0.52
2-5-3,0.07,0.45,0.68,0.36,0.22,0.2,0.05,0.13,0.52,0.43,0.81,0.45
2-5-4,0.47,0.29,0.78,0.2,0.03,0.0,0.0,0.22,0.36,0.21,0.15,0.37
2-5-6,0.18,0.22,0.57,0.32,0.19,0.16,0.05,0.36,0.0,0.32,0.67,0.45
2-6-1,0.33,0.16,0.43,0.32,0.12,0.48,0.57,0.36,0.0,0.05,0.52,1.0
2-6-3,0.15,0.13,0.21,0.12,0.16,0.2,0.43,0.31,0.0,0.0,0.52,0.78
2-6-4,0.22,0.32,0.25,0.08,0.06,0.24,0.81,0.4,0.0,0.05,0.22,0.63
2-6-5,0.18,0.19,0.43,0.12,0.06,0.08,0.19,0.09,0.0,0.0,0.44,0.63
3-1-2,0.62,1.62,0.61,2.69,0.78,1.99,1.29,0.49,2.33,1.23,0.96,1.0
3-1-4,0.47,2.2,0.78,0.88,1.15,2.98,1.96,0.63,2.69,1.01,0.22,0.74
3-1-5,0.11,1.21,1.21,1.44,0.94,3.02,0.38,0.85,2.69,0.48,2.0,0.52
3-1-6,0.25,1.12,0.75,0.64,0.78,2.5,2.15,0.94,0.41,0.16,2.0,0.89
3-2-1,0.47,1.02,0.71,1.44,0.72,0.95,0.76,0.18,0.57,1.01,0.81,0.59
3-2-4,0.44,1.27,0.75,0.92,0.16,0.8,1.29,0.31,1.09,0.64,0.07,0.71
3-2-5,0.11,0.64,0.54,1.0,0.34,0.68,0.19,0.09,0.78,0.32,0.67,0.56
3-2-6,0.11,0.61,0.64,0.72,0.19,0.76,0.72,0.31,0.1,0.11,0.59,1.11
3-4-1,0.22,1.12,0.46,0.48,0.37,1.11,0.96,0.58,0.73,0.59,0.07,0.45
3-4-2,0.54,1.27,0.21,0.64,0.22,0.72,0.81,0.27,0.52,0.32,0.07,0.33
3-4-5,0.22,1.18,0.57,0.32,0.34,0.99,0.43,0.72,1.5,0.27,0.07,0.19
3-4-6,0.22,0.76,0.29,0.36,0.28,0.95,1.05,0.81,0.26,0.05,0.22,0.41
3-5-1,0.18,0.57,0.86,0.48,0.22,1.31,0.05,0.09,1.3,0.11,1.18,0.37
3-5-2,0.0,0.54,0.64,0.16,0.03,0.48,0.14,0.18,1.09,0.11,1.18,0.19
3-5-4,0.0,0.73,0.57,0.36,0.16,0.44,0.05,0.22,0.73,0.16,0.52,0.19
3-5-6,0.0,0.22,0.21,0.2,0.19,1.07,0.24,0.22,0.21,0.0,0.74,0.45
3-6-1,0.15,0.32,0.18,0.2,0.19,1.39,0.86,0.36,0.0,0.0,0.52,0.45
3-6-2,0.07,0.22,0.07,0.28,0.03,1.11,0.57,0.27,0.05,0.0,0.67,0.71
3-6-4,0.04,0.38,0.14,0.08,0.19,0.76,1.15,0.36,0.0,0.0,0.07,0.74
3-6-5,0.04,0.19,0.21,0.16,0.06,0.83,0.14,0.13,0.0,0.05,0.81,0.41
4-1-2,2.14,1.31,0.71,0.48,0.75,0.16,0.86,1.84,0.67,1.87,0.0,0.45
4-1-3,0.69,1.59,0.68,0.32,0.59,0.76,1.0,1.35,1.66,0.85,0.07,0.45
4-1-5,1.2,1.18,0.93,0.32,0.9,0.16,0.24,2.07,1.66,1.17,0.07,0.63
4-1-6,1.16,0.73,0.43,0.16,0.81,0.44,1.77,2.69,0.31,0.05,0.22,0.63
4-2-1,1.81,0.61,0.5,0.4,0.37,0.24,0.91,1.03,0.57,1.39,0.07,0.52
4-2-3,0.44,0.89,0.18,0.16,0.19,0.16,0.81,0.45,0.47,0.69,0.07,0.41
4-2-5,1.05,0.61,0.71,0.12,0.22,0.16,0.1,0.4,0.83,0.91,0.0,0.33
4-2-6,0.98,0.32,0.43,0.16,0.12,0.12,0.86,0.72,0.16,0.16,0.15,0.67
4-3-1,0.25,0.76,0.46,0.24,0.34,0.44,0.43,0.67,0.88,0.37,0.0,0.26
4-3-2,0.29,0.67,0.18,0.28,0.12,0.24,0.62,0.27,0.83,0.16,0.07,0.22
4-3-5,0.11,0.67,0.46,0.12,0.31,0.4,0.19,0.45,0.78,0.16,0.0,0.41
4-3-6,0.22,0.48,0.25,0.24,0.31,0.36,0.81,0.76,0.26,0.11,0.07,0.37
4-5-1,0.65,0.67,0.96,0.32,0.34,0.24,0.1,1.08,1.5,0.48,0.07,0.33
4-5-2,0.54,0.64,0.82,0.08,0.16,0.32,0.0,0.9,0.36,0.53,0.0,0.15
4-5-3,0.22,0.8,0.32,0.2,0.47,0.24,0.14,0.45,0.83,0.21,0.07,0.19
4-5-6,0.44,0.67,0.78,0.12,0.25,0.64,0.14,1.66,0.21,0.21,0.3,0.45
4-6-1,0.47,0.32,0.18,0.08,0.31,0.16,0.81,1.35,0.0,0.16,0.07,0.52
4-6-2,0.33,0.22,0.29,0.08,0.19,0.08,0.76,0.72,0.1,0.0,0.07,0.56
4-6-3,0.07,0.41,0.25,0.04,0.22,0.16,0.86,0.81,0.16,0.16,0.0,0.3
4-6-5,0.18,0.32,0.25,0.04,0.25,0.44,0.19,1.21,0.05,0.0,0.22,0.26
5-1-2,0.29,0.48,1.25,0.48,0.44,0.24,0.05,0.18,1.14,0.32,1.63,0.52
5-1-3,0.04,0.32,1.03,0.4,0.31,0.8,0.05,0.18,1.45,0.27,0.96,0.22
5-1-4,0.29,0.41,1.21,0.2,0.41,0.36,0.14,0.85,1.19,0.21,0.37,0.19
5-1-6,0.18,0.16,0.89,0.16,0.47,0.68,0.1,0.58,0.26,0.05,1.41,0.67
5-2-1,0.22,0.25,0.71,0.12,0.12,0.08,0.0,0.13,0.57,0.16,0.96,0.41
5-2-3,0.18,0.32,0.29,0.16,0.0,0.16,0.1,0.09,0.62,0.27,0.37,0.07
5-2-4,0.18,0.19,0.57,0.12,0.03,0.04,0.1,0.22,0.36,0.21,0.07,0.04
5-2-6,0.15,0.22,0.71,0.12,0.19,0.12,0.05,0.13,0.1,0.0,1.41,0.11
5-3-1,0.04,0.32,0.57,0.44,0.09,0.4,0.0,0.13,0.78,0.16,1.11,0.15
5-3-2,0.07,0.03,0.25,0.24,0.06,0.2,0.0,0.0,0.73,0.05,0.67,0.11
5-3-4,0.11,0.19,0.21,0.04,0.09,0.28,0.0,0.09,0.41,0.16,0.0,0.07
5-3-6,0.04,0.22,0.29,0.04,0.09,0.68,0.05,0.22,0.1,0.0,1.55,0.19
5-4-1,0.44,0.35,0.82,0.2,0.12,0.2,0.0,0.4,0.78,0.27,0.0,0.19
5-4-2,0.07,0.13,0.54,0.16,0.12,0.12,0.05,0.18,0.52,0.37,0.07,0.19
5-4-3,0.04,0.29,0.39,0.0,0.25,0.4,0.0,0.22,0.36,0.11,0.0,0.04
5-4-6,0.15,0.19,0.57,0.08,0.19,0.36,0.05,0.4,0.21,0.11,0.15,0.37
5-6-1,0.04,0.13,0.64,0.12,0.09,0.48,0.0,0.31,0.26,0.0,1.41,0.45
5-6-2,0.07,0.1,0.32,0.04,0.03,0.2,0.0,0.22,0.16,0.05,0.59,0.07
5-6-3,0.0,0.03,0.18,0.04,0.12,0.32,0.0,0.09,0.05,0.0,0.59,0.37
5-6-4,0.04,0.03,0.54,0.0,0.09,0.32,0.05,0.36,0.0,0.05,0.37,0.26
6-1-2,0.18,0.06,0.21,0.16,0.31,0.6,0.96,0.72,0.05,0.05,0.3,0.85
6-1-3,0.15,0.16,0.18,0.12,0.25,0.8,0.96,0.54,0.05,0.0,0.81,0.48
6-1-4,0.4,0.1,0.11,0.08,0.09,0.44,0.72,0.63,0.0,0.05,0.07,0.71
6-1-5,0.0,0.13,0.18,0.08,0.16,0.32,0.14,0.54,0.0,0.05,0.81,0.41
6-2-1,0.29,0.13,0.11,0.2,0.16,0.32,0.67,0.36,0.05,0.0,0.3,0.89
6-2-3,0.11,0.1,0.18,0.2,0.06,0.16,0.57,0.04,0.0,0.0,0.3,0.56
6-2-4,0.22,0.1,0.0,0.04,0.03,0.24,0.57,0.31,0.05,0.0,0.15,0.48
6-2-5,0.07,0.1,0.18,0.0,0.0,0.12,0.24,0.04,0.05,0.0,0.44,0.45
6-3-1,0.04,0.06,0.14,0.08,0.03,0.64,0.38,0.13,0.05,0.0,0.59,0.33
6-3-2,0.0,0.13,0.07,0.04,0.03,0.44,0.38,0.18,0.0,0.0,0.22,0.33
6-3-4,0.0,0.19,0.11,0.0,0.03,0.24,0.53,0.22,0.0,0.0,0.0,0.19
6-3-5,0.0,0.1,0.07,0.0,0.03,0.44,0.14,0.13,0.05,0.0,0.59,0.26
6-4-1,0.04,0.13,0.04,0.04,0.19,0.2,0.38,0.54,0.0,0.16,0.07,0.33
6-4-2,0.07,0.1,0.14,0.0,0.09,0.08,0.57,0.54,0.0,0.0,0.15,0.26
6-4-3,0.07,0.19,0.11,0.0,0.09,0.24,0.53,0.18,0.0,0.0,0.0,0.26
6-4-5,0.0,0.1,0.04,0.0,0.25,0.12,0.24,0.49,0.0,0.0,0.0,0.33
6-5-1,0.0,0.03,0.07,0.0,0.12,0.48,0.05,0.45,0.0,0.0,0.67,0.19
6-5-2,0.0,0.03,0.25,0.04,0.06,0.12,0.0,0.09,0.0,0.0,0.89,0.22
6-5-3,0.04,0.06,0.07,0.04,0.03,0.32,0.19,0.04,0.0,0.0,0.59,0.37
6-5-4,0.04,0.1,0.25,0.04,0.03,0.04,0.05,0.22,0.1,0.0,0.15,0.37
