3連単,型00_1強_6号艇ド弱型,型01_1号艇一強_王道型,型02_6号艇エース_展開型,型03_6号艇ド弱_壁抜け型,型04_4カド一撃型,型05_2号艇ド弱_壁抜け型,型06_4号艇ド弱_壁抜け型,型07_3号艇ド弱_壁抜け型,型08_5号艇エース_展開型,型09_イン凹み_中枠強襲型,型10_1号艇一強_王道型,型11_1強_6号艇ド弱型
1-2-3,8.04,8.35,9.42,12.25,4.01,5.1,8.58,5.46,6.97,6.34,6.62,8.63
1-2-4,8.22,5.11,5.18,8.7,6.25,1.96,2.0,7.31,5.01,3.97,8.29,4.43
1-2-5,4.84,4.0,1.14,5.12,2.04,3.19,6.64,4.91,6.04,2.25,0.66,4.61
1-2-6,0.44,3.78,5.32,1.81,1.48,1.12,4.07,4.83,3.04,1.97,2.56,0.46
1-3-2,5.27,6.76,5.11,6.7,3.22,7.93,6.45,2.86,3.25,5.33,5.72,9.36
1-3-4,7.69,6.16,3.97,4.96,6.32,5.9,1.25,1.64,3.72,4.87,8.17,5.72
1-3-5,3.25,4.25,1.48,2.44,2.34,10.32,4.7,1.34,3.93,3.04,1.19,7.52
1-3-6,0.4,5.3,4.37,1.73,1.48,3.69,3.19,1.34,1.93,3.18,2.39,0.78
1-4-2,8.66,3.81,2.62,4.73,7.14,1.23,0.88,3.91,3.18,3.1,7.57,2.77
1-4-3,8.18,3.52,1.82,2.88,6.15,2.39,0.69,1.6,2.25,2.82,7.27,4.01
1-4-5,5.76,2.76,0.2,2.01,5.66,2.03,0.69,1.64,3.18,2.09,1.19,2.63
1-4-6,0.97,2.92,2.22,0.91,4.34,1.01,0.63,1.93,1.97,1.72,6.14,0.42
1-5-2,2.24,2.51,0.27,1.97,1.45,2.35,4.82,1.43,4.29,1.52,0.18,3.41
1-5-3,1.89,2.86,0.54,1.06,1.61,5.25,3.44,0.84,3.18,1.92,0.48,4.34
1-5-4,2.59,1.78,0.27,1.14,1.74,1.23,0.81,0.92,3.0,0.93,0.54,2.17
1-5-6,0.35,2.19,0.27,0.24,1.22,1.67,1.57,1.18,2.15,1.18,0.48,0.42
1-6-2,0.35,1.94,2.69,0.59,0.86,0.58,1.5,1.51,1.07,0.96,1.37,0.28
1-6-3,0.04,1.84,1.82,0.59,0.43,1.05,1.19,0.5,0.21,1.27,1.73,0.14
1-6-4,0.4,1.62,1.28,0.24,1.15,0.43,0.44,1.3,0.75,1.01,1.55,0.09
1-6-5,0.26,1.33,0.2,0.08,0.43,0.83,1.69,0.5,0.89,0.68,0.3,0.18
2-1-3,0.97,0.89,3.97,4.25,0.69,1.27,3.07,2.69,1.61,2.23,1.43,1.61
2-1-4,1.67,0.86,2.22,3.15,1.68,0.54,1.0,3.65,1.39,1.27,1.55,1.25
2-1-5,0.57,0.76,0.67,1.77,0.46,0.54,2.69,2.1,2.43,1.13,0.36,1.25
2-1-6,0.09,0.83,2.29,1.26,0.36,0.18,2.38,2.73,1.0,1.1,0.66,0.05
2-3-1,0.22,0.32,1.75,1.26,0.33,0.8,1.5,0.8,0.46,1.21,0.48,1.25
2-3-4,0.31,0.13,1.41,0.98,0.16,0.29,0.38,0.88,0.43,1.01,0.66,0.65
2-3-5,0.13,0.16,0.67,0.91,0.2,0.43,1.06,0.59,0.46,0.87,0.06,0.97
2-3-6,0.0,0.1,1.68,0.28,0.13,0.14,0.75,1.34,0.32,0.9,0.24,0.09
2-4-1,0.48,0.35,0.87,1.14,0.43,0.14,0.38,1.76,0.5,0.9,0.54,0.32
2-4-3,0.44,0.22,1.08,0.83,0.46,0.18,0.13,0.71,0.43,0.62,0.24,0.23
2-4-5,0.35,0.1,0.47,0.67,0.3,0.22,0.25,0.71,0.68,0.48,0.06,0.28
2-4-6,0.04,0.13,0.27,0.16,0.2,0.04,0.19,0.84,0.36,0.68,0.42,0.0
2-5-1,0.13,0.19,0.07,0.63,0.16,0.25,1.25,0.59,0.54,0.17,0.0,0.51
2-5-3,0.26,0.0,0.0,0.63,0.03,0.18,0.81,0.46,0.97,0.2,0.0,0.42
2-5-4,0.04,0.16,0.2,0.63,0.13,0.14,0.19,0.42,0.5,0.34,0.0,0.18
2-5-6,0.0,0.1,0.07,0.12,0.07,0.07,0.31,0.55,0.5,0.14,0.0,0.0
2-6-1,0.0,0.32,0.87,0.28,0.26,0.0,0.56,0.8,0.21,0.31,0.18,0.0
2-6-3,0.0,0.06,0.87,0.16,0.07,0.11,0.88,0.67,0.18,0.42,0.06,0.0
2-6-4,0.0,0.16,0.54,0.08,0.1,0.0,0.25,0.92,0.25,0.31,0.24,0.0
2-6-5,0.0,0.06,0.13,0.16,0.07,0.07,0.38,0.5,0.21,0.14,0.06,0.0
3-1-2,0.62,0.79,1.41,0.75,0.69,1.67,1.88,0.46,0.54,1.49,0.72,1.75
3-1-4,1.49,1.02,1.62,0.98,1.41,2.79,0.31,0.38,0.61,2.51,2.27,2.12
3-1-5,0.7,1.11,0.54,0.51,0.49,4.45,1.31,0.34,0.79,1.44,0.18,2.77
3-1-6,0.13,0.95,1.48,0.2,0.49,2.1,0.94,0.25,0.32,1.32,0.72,0.37
3-2-1,0.22,0.32,1.01,0.59,0.16,0.62,1.13,0.59,0.43,0.82,0.24,1.01
3-2-4,0.57,0.32,1.28,0.59,0.39,0.36,0.31,0.42,0.39,1.35,0.54,0.42
3-2-5,0.18,0.16,0.34,0.16,0.07,0.98,1.0,0.25,0.21,0.76,0.06,1.06
3-2-6,0.0,0.19,1.01,0.24,0.16,0.29,0.5,0.5,0.18,0.76,0.12,0.09
3-4-1,0.84,0.54,0.47,0.59,0.56,1.01,0.31,0.25,0.54,0.82,1.01,0.88
3-4-2,0.44,0.22,0.67,0.47,0.49,0.18,0.0,0.34,0.39,0.93,0.54,0.74
3-4-5,0.31,0.19,0.07,0.24,0.49,0.98,0.25,0.29,0.29,0.73,0.18,0.83
3-4-6,0.13,0.25,0.87,0.32,0.63,0.62,0.31,0.29,0.25,0.99,0.66,0.14
3-5-1,0.26,0.32,0.13,0.24,0.23,1.74,0.75,0.13,0.36,0.45,0.06,0.78
3-5-2,0.09,0.03,0.2,0.32,0.1,0.65,0.38,0.08,0.36,0.73,0.0,0.83
3-5-4,0.13,0.16,0.07,0.16,0.26,0.98,0.13,0.04,0.32,0.45,0.06,0.92
3-5-6,0.04,0.03,0.2,0.28,0.16,0.54,0.63,0.21,0.25,0.37,0.0,0.09
3-6-1,0.13,0.29,0.81,0.12,0.1,0.25,0.38,0.25,0.11,0.45,0.18,0.05
3-6-2,0.0,0.13,0.47,0.04,0.07,0.22,0.44,0.34,0.14,0.42,0.12,0.0
3-6-4,0.0,0.29,0.47,0.04,0.2,0.29,0.13,0.21,0.25,0.65,0.3,0.0
3-6-5,0.0,0.16,0.07,0.04,0.07,0.33,0.38,0.08,0.07,0.39,0.0,0.05
4-1-2,1.76,0.57,0.27,1.1,2.14,0.43,0.19,1.43,0.68,0.73,2.56,0.65
4-1-3,1.85,0.73,0.47,0.47,1.84,0.33,0.06,0.38,0.21,0.54,1.97,0.42
4-1-5,2.2,0.7,0.34,0.95,2.63,0.54,0.06,0.97,0.82,0.62,0.66,1.11
4-1-6,0.35,1.14,1.21,0.32,2.01,0.29,0.06,0.71,0.46,0.48,2.62,0.09
4-2-1,1.23,0.29,0.27,0.95,0.69,0.11,0.19,1.09,0.57,0.59,1.13,0.37
4-2-3,0.44,0.03,0.74,0.75,0.43,0.0,0.06,0.46,0.14,0.62,0.36,0.14
4-2-5,0.92,0.29,0.27,0.47,0.66,0.18,0.06,1.01,0.54,0.42,0.12,0.09
4-2-6,0.13,0.22,0.74,0.24,0.59,0.07,0.19,1.34,0.21,0.39,1.01,0.14
4-3-1,0.97,0.25,0.54,0.35,0.99,0.54,0.31,0.34,0.07,0.59,0.6,0.28
4-3-2,0.35,0.16,0.34,0.59,0.36,0.11,0.19,0.25,0.11,0.51,0.72,0.23
4-3-5,0.57,0.06,0.2,0.28,0.89,0.54,0.06,0.25,0.29,0.48,0.18,0.42
4-3-6,0.04,0.16,0.47,0.24,0.66,0.33,0.13,0.34,0.07,0.34,0.83,0.09
4-5-1,1.36,0.54,0.13,0.71,1.41,0.54,0.19,0.46,0.86,0.62,0.48,0.97
4-5-2,0.84,0.13,0.07,0.55,0.69,0.18,0.25,0.55,0.64,0.23,0.18,0.28
4-5-3,0.75,0.16,0.2,0.32,0.79,0.25,0.06,0.21,0.32,0.37,0.24,0.32
4-5-6,0.18,0.32,0.07,0.43,1.51,0.36,0.25,0.88,0.82,0.56,0.24,0.05
4-6-1,0.22,0.6,0.61,0.16,1.02,0.25,0.06,0.67,0.32,0.31,1.31,0.05
4-6-2,0.09,0.13,0.74,0.12,0.33,0.04,0.19,1.01,0.25,0.25,0.54,0.0
4-6-3,0.04,0.16,0.0,0.12,0.39,0.07,0.0,0.21,0.04,0.37,0.48,0.05
4-6-5,0.09,0.16,0.27,0.16,0.46,0.14,0.13,0.46,0.11,0.25,0.36,0.0
5-1-2,0.62,0.51,0.2,0.63,0.46,0.33,0.75,0.63,1.54,0.31,0.0,0.51
5-1-3,0.4,0.51,0.13,0.28,0.43,1.41,0.94,0.13,1.11,0.54,0.06,1.38
5-1-4,0.7,0.25,0.13,0.47,0.69,0.4,0.19,0.25,0.75,0.31,0.0,0.88
5-1-6,0.13,0.44,0.2,0.24,0.43,0.58,0.94,0.25,0.93,0.54,0.0,0.18
5-2-1,0.09,0.19,0.0,0.28,0.13,0.51,0.88,0.34,0.82,0.28,0.06,0.55
5-2-3,0.04,0.29,0.0,0.08,0.16,0.25,0.44,0.08,0.43,0.14,0.12,0.37
5-2-4,0.13,0.03,0.07,0.08,0.13,0.11,0.13,0.38,0.32,0.11,0.06,0.28
5-2-6,0.0,0.16,0.0,0.08,0.03,0.11,0.5,0.29,0.39,0.14,0.0,0.18
5-3-1,0.13,0.1,0.13,0.2,0.16,0.91,0.31,0.17,0.43,0.2,0.06,0.78
5-3-2,0.09,0.13,0.0,0.08,0.1,0.33,0.69,0.21,0.18,0.34,0.06,0.37
5-3-4,0.18,0.06,0.07,0.04,0.3,0.33,0.19,0.13,0.21,0.17,0.06,0.32
5-3-6,0.09,0.1,0.07,0.08,0.03,0.22,0.5,0.21,0.32,0.28,0.06,0.18
5-4-1,0.35,0.06,0.13,0.28,0.76,0.36,0.13,0.08,0.46,0.2,0.06,0.83
5-4-2,0.22,0.13,0.07,0.24,0.26,0.22,0.13,0.29,0.43,0.08,0.12,0.23
5-4-3,0.18,0.06,0.0,0.08,0.23,0.22,0.13,0.0,0.32,0.17,0.0,0.23
5-4-6,0.04,0.22,0.07,0.08,0.3,0.4,0.0,0.42,0.36,0.31,0.0,0.05
5-6-1,0.09,0.41,0.0,0.08,0.07,0.25,0.56,0.29,0.39,0.2,0.0,0.09
5-6-2,0.04,0.16,0.0,0.04,0.0,0.07,0.44,0.25,0.39,0.14,0.06,0.09
5-6-3,0.0,0.1,0.07,0.04,0.1,0.11,0.19,0.13,0.18,0.11,0.06,0.09
5-6-4,0.04,0.19,0.0,0.04,0.13,0.25,0.13,0.34,0.18,0.11,0.0,0.0
6-1-2,0.0,0.41,0.87,0.04,0.13,0.07,0.56,0.76,0.32,0.45,0.54,0.0
6-1-3,0.04,0.35,0.67,0.08,0.03,0.18,0.56,0.13,0.04,0.31,0.12,0.14
6-1-4,0.0,0.16,0.54,0.08,0.23,0.07,0.19,0.38,0.14,0.28,0.48,0.05
6-1-5,0.0,0.19,0.0,0.04,0.13,0.25,0.13,0.34,0.14,0.17,0.12,0.0
6-2-1,0.0,0.22,0.61,0.0,0.1,0.04,0.56,0.67,0.32,0.08,0.12,0.0
6-2-3,0.0,0.16,0.81,0.16,0.0,0.04,0.0,0.63,0.11,0.08,0.12,0.05
6-2-4,0.04,0.03,0.67,0.08,0.1,0.04,0.13,0.46,0.11,0.31,0.24,0.0
6-2-5,0.0,0.13,0.2,0.08,0.03,0.0,0.38,0.46,0.07,0.17,0.0,0.0
6-3-1,0.0,0.32,0.13,0.04,0.13,0.07,0.06,0.38,0.04,0.25,0.24,0.0
6-3-2,0.0,0.06,0.47,0.04,0.0,0.0,0.13,0.21,0.07,0.23,0.0,0.05
6-3-4,0.0,0.03,0.54,0.0,0.03,0.04,0.0,0.04,0.04,0.17,0.06,0.0
6-3-5,0.0,0.1,0.13,0.08,0.03,0.29,0.19,0.04,0.07,0.2,0.0,0.0
6-4-1,0.09,0.13,0.27,0.04,0.3,0.0,0.06,0.17,0.04,0.14,0.36,0.0
6-4-2,0.0,0.1,0.2,0.08,0.1,0.0,0.13,0.29,0.07,0.06,0.24,0.0
6-4-3,0.0,0.03,0.27,0.08,0.13,0.07,0.0,0.17,0.07,0.14,0.24,0.05
6-4-5,0.0,0.06,0.47,0.0,0.13,0.0,0.06,0.13,0.07,0.08,0.06,0.0
6-5-1,0.0,0.29,0.07,0.08,0.03,0.0,0.38,0.08,0.18,0.17,0.06,0.05
6-5-2,0.0,0.06,0.13,0.04,0.0,0.0,0.31,0.25,0.04,0.03,0.0,0.0
6-5-3,0.04,0.03,0.0,0.0,0.0,0.14,0.13,0.0,0.04,0.23,0.0,0.0
6-5-4,0.0,0.16,0.07,0.0,0.1,0.11,0.13,0.13,0.04,0.08,0.06,0.0
